term_en	respondents	dimension	canonical_concept_id	mapping_basis	source
boozy	1	fermented_winey	sensory.alcoholic	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
over-roasted	1	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
alcoholic	1	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
alcohol	1	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
light-bodied	1	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
zesty	1	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
brandy	1	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
rubbery	1	defect	sensory.rubber	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
port	1	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
roasted hazelnut	1	nutty_chocolate		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
plastic	1	defect		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
moldy	1	defect	sensory.moldy	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
perfumy	1	floral		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
high sweetness	1	sweetness		DIMENSION_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
