group	n	question_id	option_id	within_question_share_corrected	pruning
band=light|process=washed|variety=caturra	102	B	B4	0.2325	kept
band=light|process=washed|variety=caturra	102	B	B5	0.2963	kept
band=light|process=washed|variety=caturra	102	B	B6	0.0026	
band=light|process=washed|variety=caturra	102	B	B7	0.0679	
band=light|process=washed|variety=caturra	102	B	B8	0.1871	kept
band=light|process=washed|variety=caturra	102	B	B9	0.0559	
band=light|process=washed|variety=caturra	102	C	C1	0.1590	
band=light|process=washed|variety=caturra	102	C	C3	0.2859	kept
band=light|process=washed|variety=caturra	102	C	C4	0.0795	
band=light|process=washed|variety=caturra	102	C	C5	0.0363	
band=light|process=washed|variety=caturra	102	C	C6	0.3349	kept
band=light|process=washed|variety=caturra	102	C	C7	0.1044	
band=light|process=washed|variety=ethiopian_landrace	211	A	A1	0.3991	kept
band=light|process=washed|variety=ethiopian_landrace	211	A	A2	0.1360	kept
band=light|process=washed|variety=ethiopian_landrace	211	A	A3	0.2488	kept
band=light|process=washed|variety=ethiopian_landrace	211	A	A4	0.1316	
band=light|process=washed|variety=ethiopian_landrace	211	A	A5	0.0687	
band=light|process=washed|variety=ethiopian_landrace	211	A	A6	0.0151	
band=light|process=washed|variety=ethiopian_landrace	211	A	A7	0.0008	
band=light|process=washed|variety=ethiopian_landrace	211	A	A8	0.0000	
band=light|process=washed|variety=ethiopian_landrace	211	B	B1	0.2141	kept
band=light|process=washed|variety=ethiopian_landrace	211	B	B2	0.0217	
band=light|process=washed|variety=ethiopian_landrace	211	B	B3	0.0537	
band=light|process=washed|variety=ethiopian_landrace	211	B	B4	0.1548	kept
band=light|process=washed|variety=ethiopian_landrace	211	B	B5	0.3622	kept
band=light|process=washed|variety=ethiopian_landrace	211	B	B6	0.0008	
band=light|process=washed|variety=ethiopian_landrace	211	B	B7	0.0443	
band=light|process=washed|variety=ethiopian_landrace	211	B	B8	0.1156	
band=light|process=washed|variety=ethiopian_landrace	211	B	B9	0.0328	
band=light|process=washed|variety=ethiopian_landrace	211	C	C1	0.2200	kept
band=light|process=washed|variety=ethiopian_landrace	211	C	C3	0.1777	
band=light|process=washed|variety=ethiopian_landrace	211	C	C4	0.0445	
band=light|process=washed|variety=ethiopian_landrace	211	C	C5	0.0289	
band=light|process=washed|variety=ethiopian_landrace	211	C	C6	0.4988	kept
band=light|process=washed|variety=ethiopian_landrace	211	C	C7	0.0300	
band=light|process=washed|variety=gesha	148	A	A1	0.3813	kept
band=light|process=washed|variety=gesha	148	A	A2	0.1007	
band=light|process=washed|variety=gesha	148	A	A3	0.2271	kept
band=light|process=washed|variety=gesha	148	A	A4	0.2011	kept
band=light|process=washed|variety=gesha	148	A	A5	0.0726	
band=light|process=washed|variety=gesha	148	A	A6	0.0164	
band=light|process=washed|variety=gesha	148	A	A7	0.0007	
band=light|process=washed|variety=gesha	148	A	A8	0.0000	
band=light|process=washed|variety=gesha	148	B	B1	0.2486	kept
band=light|process=washed|variety=gesha	148	B	B2	0.0171	
band=light|process=washed|variety=gesha	148	B	B3	0.0671	
band=light|process=washed|variety=gesha	148	B	B4	0.1315	kept
band=light|process=washed|variety=gesha	148	B	B5	0.2998	kept
band=light|process=washed|variety=gesha	148	B	B6	0.0018	
band=light|process=washed|variety=gesha	148	B	B7	0.0963	
band=light|process=washed|variety=gesha	148	B	B8	0.1111	
band=light|process=washed|variety=gesha	148	B	B9	0.0267	
band=light|process=washed|variety=gesha	148	C	C1	0.2483	kept
band=light|process=washed|variety=gesha	148	C	C3	0.2088	
band=light|process=washed|variety=gesha	148	C	C4	0.0417	
band=light|process=washed|variety=gesha	148	C	C5	0.1180	
band=light|process=washed|variety=gesha	148	C	C6	0.3531	kept
band=light|process=washed|variety=gesha	148	C	C7	0.0300	
band=light|process=washed|variety=sl28_sl34	111	A	A1	0.2923	kept
band=light|process=washed|variety=sl28_sl34	111	A	A2	0.2573	kept
band=light|process=washed|variety=sl28_sl34	111	A	A3	0.1471	
band=light|process=washed|variety=sl28_sl34	111	A	A4	0.1893	kept
band=light|process=washed|variety=sl28_sl34	111	A	A5	0.0831	
band=light|process=washed|variety=sl28_sl34	111	A	A6	0.0300	
band=light|process=washed|variety=sl28_sl34	111	A	A7	0.0009	
band=light|process=washed|variety=sl28_sl34	111	A	A8	0.0000	
band=light|process=washed|variety=sl28_sl34	111	B	B1	0.1667	kept
band=light|process=washed|variety=sl28_sl34	111	B	B2	0.0134	
band=light|process=washed|variety=sl28_sl34	111	B	B3	0.0429	
band=light|process=washed|variety=sl28_sl34	111	B	B4	0.1185	
band=light|process=washed|variety=sl28_sl34	111	B	B5	0.3767	kept
band=light|process=washed|variety=sl28_sl34	111	B	B6	0.0024	
band=light|process=washed|variety=sl28_sl34	111	B	B7	0.0687	
band=light|process=washed|variety=sl28_sl34	111	B	B8	0.1831	kept
band=light|process=washed|variety=sl28_sl34	111	B	B9	0.0276	
band=light|process=washed|variety=sl28_sl34	111	C	C1	0.1404	
band=light|process=washed|variety=sl28_sl34	111	C	C3	0.3668	kept
band=light|process=washed|variety=sl28_sl34	111	C	C4	0.0996	
band=light|process=washed|variety=sl28_sl34	111	C	C5	0.0225	
band=light|process=washed|variety=sl28_sl34	111	C	C6	0.2871	kept
band=light|process=washed|variety=sl28_sl34	111	C	C7	0.0835	
band=light|process=washed|variety=typica	70	A	A1	0.2996	kept
band=light|process=washed|variety=typica	70	A	A2	0.0992	
band=light|process=washed|variety=typica	70	A	A3	0.2695	kept
band=light|process=washed|variety=typica	70	A	A4	0.2074	kept
band=light|process=washed|variety=typica	70	A	A5	0.0966	
band=light|process=washed|variety=typica	70	A	A6	0.0265	
band=light|process=washed|variety=typica	70	A	A7	0.0011	
band=light|process=washed|variety=typica	70	A	A8	0.0000	
band=light|process=washed|variety=typica	70	B	B1	0.1421	
band=light|process=washed|variety=typica	70	B	B2	0.0055	
band=light|process=washed|variety=typica	70	B	B3	0.0413	
band=light|process=washed|variety=typica	70	B	B4	0.2007	kept
band=light|process=washed|variety=typica	70	B	B5	0.2938	kept
band=light|process=washed|variety=typica	70	B	B6	0.0127	
band=light|process=washed|variety=typica	70	B	B7	0.1138	
band=light|process=washed|variety=typica	70	B	B8	0.1424	kept
band=light|process=washed|variety=typica	70	B	B9	0.0477	
band=light|process=washed|variety=typica	70	C	C1	0.1524	
band=light|process=washed|variety=typica	70	C	C3	0.2653	kept
band=light|process=washed|variety=typica	70	C	C4	0.0471	
band=light|process=washed|variety=typica	70	C	C5	0.0873	
band=light|process=washed|variety=typica	70	C	C6	0.4017	kept
band=light|process=washed|variety=typica	70	C	C7	0.0463	
band=light|variety=bourbon	559	A	A1	0.2776	kept
band=light|variety=bourbon	559	A	A2	0.1552	
band=light|variety=bourbon	559	A	A3	0.2253	kept
band=light|variety=bourbon	559	A	A4	0.2436	kept
band=light|variety=bourbon	559	A	A5	0.0732	
band=light|variety=bourbon	559	A	A6	0.0245	
band=light|variety=bourbon	559	A	A7	0.0005	
band=light|variety=bourbon	559	A	A8	0.0000	
band=light|variety=bourbon	559	B	B1	0.1321	
band=light|variety=bourbon	559	B	B2	0.0100	
band=light|variety=bourbon	559	B	B3	0.0284	
band=light|variety=bourbon	559	B	B4	0.2342	kept
band=light|variety=bourbon	559	B	B5	0.2621	kept
band=light|variety=bourbon	559	B	B6	0.0290	
band=light|variety=bourbon	559	B	B7	0.1008	
band=light|variety=bourbon	559	B	B8	0.1468	kept
band=light|variety=bourbon	559	B	B9	0.0565	
band=light|variety=bourbon	559	C	C1	0.2433	
band=light|variety=bourbon	559	C	C3	0.2688	kept
band=light|variety=bourbon	559	C	C4	0.0883	
band=light|variety=bourbon	559	C	C5	0.1027	
band=light|variety=bourbon	559	C	C6	0.2592	kept
band=light|variety=bourbon	559	C	C7	0.0378	
band=light|variety=castillo	47	A	A1	0.2881	kept
band=light|variety=castillo	47	A	A2	0.1519	
band=light|variety=castillo	47	A	A3	0.1824	kept
band=light|variety=castillo	47	A	A4	0.2253	kept
band=light|variety=castillo	47	A	A5	0.1162	
band=light|variety=castillo	47	A	A6	0.0167	
band=light|variety=castillo	47	A	A7	0.0192	
band=light|variety=castillo	47	A	A8	0.0002	
band=light|variety=castillo	47	B	B1	0.1387	
band=light|variety=castillo	47	B	B2	0.0050	
band=light|variety=castillo	47	B	B3	0.0232	
band=light|variety=castillo	47	B	B4	0.1620	kept
band=light|variety=castillo	47	B	B5	0.3378	kept
band=light|variety=castillo	47	B	B6	0.0085	
band=light|variety=castillo	47	B	B7	0.1391	
band=light|variety=castillo	47	B	B8	0.1494	kept
band=light|variety=castillo	47	B	B9	0.0363	
band=light|variety=castillo	47	C	C1	0.2622	kept
band=light|variety=castillo	47	C	C3	0.1852	
band=light|variety=castillo	47	C	C4	0.0459	
band=light|variety=castillo	47	C	C5	0.1504	
band=light|variety=castillo	47	C	C6	0.3260	kept
band=light|variety=castillo	47	C	C7	0.0304	
band=light|variety=catuai	90	A	A1	0.2481	kept
band=light|variety=catuai	90	A	A2	0.1747	
band=light|variety=catuai	90	A	A3	0.2139	kept
band=light|variety=catuai	90	A	A4	0.2350	kept
band=light|variety=catuai	90	A	A5	0.0858	
band=light|variety=catuai	90	A	A6	0.0300	
band=light|variety=catuai	90	A	A7	0.0124	
band=light|variety=catuai	90	A	A8	0.0001	
band=light|variety=catuai	90	B	B1	0.1696	kept
band=light|variety=catuai	90	B	B2	0.0035	
band=light|variety=catuai	90	B	B3	0.0277	
band=light|variety=catuai	90	B	B4	0.2195	kept
band=light|variety=catuai	90	B	B5	0.2854	kept
band=light|variety=catuai	90	B	B6	0.0265	
band=light|variety=catuai	90	B	B7	0.0795	
band=light|variety=catuai	90	B	B8	0.1334	
band=light|variety=catuai	90	B	B9	0.0549	
band=light|variety=catuai	90	C	C1	0.2543	
band=light|variety=catuai	90	C	C3	0.2575	kept
band=light|variety=catuai	90	C	C4	0.0734	
band=light|variety=catuai	90	C	C5	0.0759	
band=light|variety=catuai	90	C	C6	0.2829	kept
band=light|variety=catuai	90	C	C7	0.0561	
band=light|variety=caturra	265	A	A1	0.2580	kept
band=light|variety=caturra	265	A	A2	0.1746	
band=light|variety=caturra	265	A	A3	0.2199	kept
band=light|variety=caturra	265	A	A4	0.2213	kept
band=light|variety=caturra	265	A	A5	0.0801	
band=light|variety=caturra	265	A	A6	0.0401	
band=light|variety=caturra	265	A	A7	0.0059	
band=light|variety=caturra	265	A	A8	0.0001	
band=light|variety=caturra	265	B	B1	0.1186	
band=light|variety=caturra	265	B	B2	0.0017	
band=light|variety=caturra	265	B	B3	0.0190	
band=light|variety=caturra	265	B	B4	0.2019	kept
band=light|variety=caturra	265	B	B5	0.3126	kept
band=light|variety=caturra	265	B	B6	0.0129	
band=light|variety=caturra	265	B	B7	0.1063	
band=light|variety=caturra	265	B	B8	0.1761	kept
band=light|variety=caturra	265	B	B9	0.0509	
band=light|variety=caturra	265	C	C1	0.1680	
band=light|variety=caturra	265	C	C3	0.3451	kept
band=light|variety=caturra	265	C	C4	0.0597	
band=light|variety=caturra	265	C	C5	0.0572	
band=light|variety=caturra	265	C	C6	0.3029	kept
band=light|variety=caturra	265	C	C7	0.0670	
band=light|variety=ethiopian_landrace	533	A	A1	0.3214	kept
band=light|variety=ethiopian_landrace	533	A	A2	0.2583	kept
band=light|variety=ethiopian_landrace	533	A	A3	0.1782	kept
band=light|variety=ethiopian_landrace	533	A	A4	0.1532	
band=light|variety=ethiopian_landrace	533	A	A5	0.0744	
band=light|variety=ethiopian_landrace	533	A	A6	0.0110	
band=light|variety=ethiopian_landrace	533	A	A7	0.0035	
band=light|variety=ethiopian_landrace	533	A	A8	0.0000	
band=light|variety=ethiopian_landrace	533	B	B1	0.1789	kept
band=light|variety=ethiopian_landrace	533	B	B2	0.0108	
band=light|variety=ethiopian_landrace	533	B	B3	0.0463	
band=light|variety=ethiopian_landrace	533	B	B4	0.1556	kept
band=light|variety=ethiopian_landrace	533	B	B5	0.3730	kept
band=light|variety=ethiopian_landrace	533	B	B6	0.0038	
band=light|variety=ethiopian_landrace	533	B	B7	0.0611	
band=light|variety=ethiopian_landrace	533	B	B8	0.1256	
band=light|variety=ethiopian_landrace	533	B	B9	0.0449	
band=light|variety=ethiopian_landrace	533	C	C1	0.2779	kept
band=light|variety=ethiopian_landrace	533	C	C3	0.2203	
band=light|variety=ethiopian_landrace	533	C	C4	0.0682	
band=light|variety=ethiopian_landrace	533	C	C5	0.0333	
band=light|variety=ethiopian_landrace	533	C	C6	0.3772	kept
band=light|variety=ethiopian_landrace	533	C	C7	0.0231	
band=light|variety=gesha	440	A	A1	0.3152	kept
band=light|variety=gesha	440	A	A2	0.1582	
band=light|variety=gesha	440	A	A3	0.1930	kept
band=light|variety=gesha	440	A	A4	0.1953	kept
band=light|variety=gesha	440	A	A5	0.1278	
band=light|variety=gesha	440	A	A6	0.0098	
band=light|variety=gesha	440	A	A7	0.0006	
band=light|variety=gesha	440	A	A8	0.0000	
band=light|variety=gesha	440	B	B1	0.2668	kept
band=light|variety=gesha	440	B	B2	0.0103	
band=light|variety=gesha	440	B	B3	0.0481	
band=light|variety=gesha	440	B	B4	0.1160	
band=light|variety=gesha	440	B	B5	0.3237	kept
band=light|variety=gesha	440	B	B6	0.0045	
band=light|variety=gesha	440	B	B7	0.1216	kept
band=light|variety=gesha	440	B	B8	0.0790	
band=light|variety=gesha	440	B	B9	0.0299	
band=light|variety=gesha	440	C	C1	0.3200	kept
band=light|variety=gesha	440	C	C3	0.1569	
band=light|variety=gesha	440	C	C4	0.0242	
band=light|variety=gesha	440	C	C5	0.1172	
band=light|variety=gesha	440	C	C6	0.3633	kept
band=light|variety=gesha	440	C	C7	0.0185	
band=light|variety=pacamara	49	A	A1	0.2979	kept
band=light|variety=pacamara	49	A	A2	0.1667	
band=light|variety=pacamara	49	A	A3	0.2089	kept
band=light|variety=pacamara	49	A	A4	0.2313	kept
band=light|variety=pacamara	49	A	A5	0.0504	
band=light|variety=pacamara	49	A	A6	0.0305	
band=light|variety=pacamara	49	A	A7	0.0029	
band=light|variety=pacamara	49	A	A8	0.0116	
band=light|variety=pacamara	49	B	B1	0.1136	
band=light|variety=pacamara	49	B	B2	0.0050	
band=light|variety=pacamara	49	B	B3	0.0232	
band=light|variety=pacamara	49	B	B4	0.1982	kept
band=light|variety=pacamara	49	B	B5	0.3369	kept
band=light|variety=pacamara	49	B	B6	0.0085	
band=light|variety=pacamara	49	B	B7	0.1239	
band=light|variety=pacamara	49	B	B8	0.1534	kept
band=light|variety=pacamara	49	B	B9	0.0374	
band=light|variety=pacamara	49	C	C1	0.1679	
band=light|variety=pacamara	49	C	C3	0.3399	kept
band=light|variety=pacamara	49	C	C4	0.0923	
band=light|variety=pacamara	49	C	C5	0.0681	
band=light|variety=pacamara	49	C	C6	0.2721	kept
band=light|variety=pacamara	49	C	C7	0.0597	
band=light|variety=pink_bourbon	53	A	A1	0.2502	kept
band=light|variety=pink_bourbon	53	A	A2	0.2376	kept
band=light|variety=pink_bourbon	53	A	A3	0.2278	kept
band=light|variety=pink_bourbon	53	A	A4	0.1807	
band=light|variety=pink_bourbon	53	A	A5	0.0847	
band=light|variety=pink_bourbon	53	A	A6	0.0161	
band=light|variety=pink_bourbon	53	A	A7	0.0028	
band=light|variety=pink_bourbon	53	A	A8	0.0002	
band=light|variety=pink_bourbon	53	B	B1	0.1639	kept
band=light|variety=pink_bourbon	53	B	B2	0.0048	
band=light|variety=pink_bourbon	53	B	B3	0.0224	
band=light|variety=pink_bourbon	53	B	B4	0.1764	kept
band=light|variety=pink_bourbon	53	B	B5	0.3859	kept
band=light|variety=pink_bourbon	53	B	B6	0.0081	
band=light|variety=pink_bourbon	53	B	B7	0.0658	
band=light|variety=pink_bourbon	53	B	B8	0.1372	
band=light|variety=pink_bourbon	53	B	B9	0.0355	
band=light|variety=pink_bourbon	53	C	C1	0.2902	kept
band=light|variety=pink_bourbon	53	C	C3	0.1495	
band=light|variety=pink_bourbon	53	C	C4	0.0641	
band=light|variety=pink_bourbon	53	C	C5	0.0857	
band=light|variety=pink_bourbon	53	C	C6	0.3811	kept
band=light|variety=pink_bourbon	53	C	C7	0.0294	
band=light|variety=red_bourbon	76	A	A1	0.2665	kept
band=light|variety=red_bourbon	76	A	A2	0.2087	kept
band=light|variety=red_bourbon	76	A	A3	0.1921	
band=light|variety=red_bourbon	76	A	A4	0.1954	kept
band=light|variety=red_bourbon	76	A	A5	0.1118	
band=light|variety=red_bourbon	76	A	A6	0.0230	
band=light|variety=red_bourbon	76	A	A7	0.0023	
band=light|variety=red_bourbon	76	A	A8	0.0001	
band=light|variety=red_bourbon	76	B	B1	0.1214	
band=light|variety=red_bourbon	76	B	B2	0.0039	
band=light|variety=red_bourbon	76	B	B3	0.0185	
band=light|variety=red_bourbon	76	B	B4	0.1293	kept
band=light|variety=red_bourbon	76	B	B5	0.3982	kept
band=light|variety=red_bourbon	76	B	B6	0.0067	
band=light|variety=red_bourbon	76	B	B7	0.1400	kept
band=light|variety=red_bourbon	76	B	B8	0.1238	
band=light|variety=red_bourbon	76	B	B9	0.0581	
band=light|variety=red_bourbon	76	C	C1	0.2882	kept
band=light|variety=red_bourbon	76	C	C3	0.2561	
band=light|variety=red_bourbon	76	C	C4	0.0641	
band=light|variety=red_bourbon	76	C	C5	0.0500	
band=light|variety=red_bourbon	76	C	C6	0.3000	kept
band=light|variety=red_bourbon	76	C	C7	0.0416	
band=light|variety=robusta	35	A	A1	0.2873	kept
band=light|variety=robusta	35	A	A2	0.1755	
band=light|variety=robusta	35	A	A3	0.1877	kept
band=light|variety=robusta	35	A	A4	0.1843	kept
band=light|variety=robusta	35	A	A5	0.0971	
band=light|variety=robusta	35	A	A6	0.0481	
band=light|variety=robusta	35	A	A7	0.0199	
band=light|variety=robusta	35	A	A8	0.0002	
band=light|variety=robusta	35	B	B1	0.1456	kept
band=light|variety=robusta	35	B	B2	0.0053	
band=light|variety=robusta	35	B	B3	0.0579	
band=light|variety=robusta	35	B	B4	0.1530	kept
band=light|variety=robusta	35	B	B5	0.3010	kept
band=light|variety=robusta	35	B	B6	0.0537	
band=light|variety=robusta	35	B	B7	0.0951	
band=light|variety=robusta	35	B	B8	0.1214	
band=light|variety=robusta	35	B	B9	0.0669	
band=light|variety=robusta	35	C	C1	0.2383	kept
band=light|variety=robusta	35	C	C3	0.1773	
band=light|variety=robusta	35	C	C4	0.0793	
band=light|variety=robusta	35	C	C5	0.0799	
band=light|variety=robusta	35	C	C6	0.3191	kept
band=light|variety=robusta	35	C	C7	0.1060	
band=light|variety=sl28_sl34	248	A	A1	0.2687	kept
band=light|variety=sl28_sl34	248	A	A2	0.3025	kept
band=light|variety=sl28_sl34	248	A	A3	0.1295	
band=light|variety=sl28_sl34	248	A	A4	0.1800	kept
band=light|variety=sl28_sl34	248	A	A5	0.0957	
band=light|variety=sl28_sl34	248	A	A6	0.0165	
band=light|variety=sl28_sl34	248	A	A7	0.0070	
band=light|variety=sl28_sl34	248	A	A8	0.0001	
band=light|variety=sl28_sl34	248	B	B1	0.1918	kept
band=light|variety=sl28_sl34	248	B	B2	0.0186	
band=light|variety=sl28_sl34	248	B	B3	0.0642	
band=light|variety=sl28_sl34	248	B	B4	0.1185	
band=light|variety=sl28_sl34	248	B	B5	0.3430	kept
band=light|variety=sl28_sl34	248	B	B6	0.0080	
band=light|variety=sl28_sl34	248	B	B7	0.0710	
band=light|variety=sl28_sl34	248	B	B8	0.1532	kept
band=light|variety=sl28_sl34	248	B	B9	0.0318	
band=light|variety=sl28_sl34	248	C	C1	0.2812	kept
band=light|variety=sl28_sl34	248	C	C3	0.2827	kept
band=light|variety=sl28_sl34	248	C	C4	0.1191	
band=light|variety=sl28_sl34	248	C	C5	0.0605	
band=light|variety=sl28_sl34	248	C	C6	0.2199	
band=light|variety=sl28_sl34	248	C	C7	0.0367	
band=light|variety=typica	141	A	A1	0.2894	kept
band=light|variety=typica	141	A	A2	0.1745	
band=light|variety=typica	141	A	A3	0.2031	kept
band=light|variety=typica	141	A	A4	0.1943	kept
band=light|variety=typica	141	A	A5	0.1202	
band=light|variety=typica	141	A	A6	0.0168	
band=light|variety=typica	141	A	A7	0.0016	
band=light|variety=typica	141	A	A8	0.0001	
band=light|variety=typica	141	B	B1	0.1672	kept
band=light|variety=typica	141	B	B2	0.0025	
band=light|variety=typica	141	B	B3	0.0425	
band=light|variety=typica	141	B	B4	0.1733	kept
band=light|variety=typica	141	B	B5	0.2911	kept
band=light|variety=typica	141	B	B6	0.0251	
band=light|variety=typica	141	B	B7	0.1211	
band=light|variety=typica	141	B	B8	0.1258	
band=light|variety=typica	141	B	B9	0.0513	
band=light|variety=typica	141	C	C1	0.2354	
band=light|variety=typica	141	C	C3	0.2477	kept
band=light|variety=typica	141	C	C4	0.0676	
band=light|variety=typica	141	C	C5	0.0708	
band=light|variety=typica	141	C	C6	0.3486	kept
band=light|variety=typica	141	C	C7	0.0298	
band=medium	1200	A	A1	0.2548	kept
band=medium	1200	A	A2	0.1444	kept
band=medium	1200	A	A3	0.2468	kept
band=medium	1200	A	A4	0.1401	
band=medium	1200	A	A5	0.0634	
band=medium	1200	A	A6	0.1424	
band=medium	1200	A	A7	0.0068	
band=medium	1200	A	A8	0.0012	
band=medium	1200	B	B1	0.0930	
band=medium	1200	B	B2	0.0073	
band=medium	1200	B	B3	0.0432	
band=medium	1200	B	B4	0.1669	kept
band=medium	1200	B	B5	0.3298	kept
band=medium	1200	B	B6	0.0309	
band=medium	1200	B	B7	0.0892	
band=medium	1200	B	B8	0.1865	kept
band=medium	1200	B	B9	0.0531	
band=medium	1200	C	C1	0.1388	
band=medium	1200	C	C3	0.2088	kept
band=medium	1200	C	C4	0.1332	
band=medium	1200	C	C5	0.0962	
band=medium	1200	C	C6	0.2224	kept
band=medium	1200	C	C7	0.2007	kept
band=medium|prep=espresso	259	A	A1	0.2377	kept
band=medium|prep=espresso	259	A	A2	0.1275	
band=medium|prep=espresso	259	A	A3	0.2406	kept
band=medium|prep=espresso	259	A	A4	0.1492	
band=medium|prep=espresso	259	A	A5	0.0897	
band=medium|prep=espresso	259	A	A6	0.1538	kept
band=medium|prep=espresso	259	A	A7	0.0013	
band=medium|prep=espresso	259	A	A8	0.0002	
band=medium|prep=espresso	259	B	B1	0.0703	
band=medium|prep=espresso	259	B	B2	0.0014	
band=medium|prep=espresso	259	B	B3	0.0139	
band=medium|prep=espresso	259	B	B4	0.1878	kept
band=medium|prep=espresso	259	B	B5	0.3420	kept
band=medium|prep=espresso	259	B	B6	0.0207	
band=medium|prep=espresso	259	B	B7	0.0828	
band=medium|prep=espresso	259	B	B8	0.2262	kept
band=medium|prep=espresso	259	B	B9	0.0547	
band=medium|prep=espresso	259	C	C1	0.0614	
band=medium|prep=espresso	259	C	C3	0.2013	kept
band=medium|prep=espresso	259	C	C4	0.1967	
band=medium|prep=espresso	259	C	C5	0.1308	
band=medium|prep=espresso	259	C	C6	0.1985	kept
band=medium|prep=espresso	259	C	C7	0.2113	kept
band=medium|process=honey	33	A	A1	0.2342	kept
band=medium|process=honey	33	A	A2	0.1488	
band=medium|process=honey	33	A	A3	0.2383	kept
band=medium|process=honey	33	A	A4	0.1485	
band=medium|process=honey	33	A	A5	0.0580	
band=medium|process=honey	33	A	A6	0.1672	kept
band=medium|process=honey	33	A	A7	0.0044	
band=medium|process=honey	33	A	A8	0.0008	
band=medium|process=honey	33	B	B1	0.0966	
band=medium|process=honey	33	B	B2	0.0048	
band=medium|process=honey	33	B	B3	0.0505	
band=medium|process=honey	33	B	B4	0.1825	kept
band=medium|process=honey	33	B	B5	0.3448	kept
band=medium|process=honey	33	B	B6	0.0202	
band=medium|process=honey	33	B	B7	0.0584	
band=medium|process=honey	33	B	B8	0.1884	kept
band=medium|process=honey	33	B	B9	0.0539	
band=medium|process=honey	33	C	C1	0.1395	
band=medium|process=honey	33	C	C3	0.1539	kept
band=medium|process=honey	33	C	C4	0.1214	
band=medium|process=honey	33	C	C5	0.1403	
band=medium|process=honey	33	C	C6	0.2251	kept
band=medium|process=honey	33	C	C7	0.2198	kept
band=medium|process=natural	170	A	A1	0.1585	kept
band=medium|process=natural	170	A	A2	0.2884	kept
band=medium|process=natural	170	A	A3	0.2601	kept
band=medium|process=natural	170	A	A4	0.1183	
band=medium|process=natural	170	A	A5	0.0886	
band=medium|process=natural	170	A	A6	0.0838	
band=medium|process=natural	170	A	A7	0.0021	
band=medium|process=natural	170	A	A8	0.0002	
band=medium|process=natural	170	B	B1	0.1345	
band=medium|process=natural	170	B	B2	0.0010	
band=medium|process=natural	170	B	B3	0.0805	
band=medium|process=natural	170	B	B4	0.1483	kept
band=medium|process=natural	170	B	B5	0.3182	kept
band=medium|process=natural	170	B	B6	0.0099	
band=medium|process=natural	170	B	B7	0.1047	
band=medium|process=natural	170	B	B8	0.1596	kept
band=medium|process=natural	170	B	B9	0.0433	
band=medium|process=natural	170	C	C1	0.1926	kept
band=medium|process=natural	170	C	C3	0.1955	kept
band=medium|process=natural	170	C	C4	0.1306	
band=medium|process=natural	170	C	C5	0.0724	
band=medium|process=natural	170	C	C6	0.2674	kept
band=medium|process=natural	170	C	C7	0.1415	
band=medium|process=washed	212	A	A1	0.2810	kept
band=medium|process=washed	212	A	A2	0.0961	
band=medium|process=washed	212	A	A3	0.2599	kept
band=medium|process=washed	212	A	A4	0.1513	kept
band=medium|process=washed	212	A	A5	0.0637	
band=medium|process=washed	212	A	A6	0.1330	
band=medium|process=washed	212	A	A7	0.0092	
band=medium|process=washed	212	A	A8	0.0059	
band=medium|process=washed	212	B	B1	0.0925	
band=medium|process=washed	212	B	B2	0.0016	
band=medium|process=washed	212	B	B3	0.0234	
band=medium|process=washed	212	B	B4	0.2054	kept
band=medium|process=washed	212	B	B5	0.3183	kept
band=medium|process=washed	212	B	B6	0.0255	
band=medium|process=washed	212	B	B7	0.0834	
band=medium|process=washed	212	B	B8	0.1964	kept
band=medium|process=washed	212	B	B9	0.0534	
band=medium|process=washed	212	C	C1	0.1591	
band=medium|process=washed	212	C	C3	0.1825	kept
band=medium|process=washed	212	C	C4	0.1612	
band=medium|process=washed	212	C	C5	0.0696	
band=medium|process=washed	212	C	C6	0.2440	kept
band=medium|process=washed	212	C	C7	0.1837	kept
band=medium|process=washed|variety=bourbon	33	A	A1	0.2593	kept
band=medium|process=washed|variety=bourbon	33	A	A2	0.1411	
band=medium|process=washed|variety=bourbon	33	A	A3	0.2766	kept
band=medium|process=washed|variety=bourbon	33	A	A4	0.1598	kept
band=medium|process=washed|variety=bourbon	33	A	A5	0.0343	
band=medium|process=washed|variety=bourbon	33	A	A6	0.1272	
band=medium|process=washed|variety=bourbon	33	A	A7	0.0014	
band=medium|process=washed|variety=bourbon	33	A	A8	0.0002	
band=medium|process=washed|variety=bourbon	33	B	B1	0.0927	
band=medium|process=washed|variety=bourbon	33	B	B2	0.0015	
band=medium|process=washed|variety=bourbon	33	B	B3	0.0557	
band=medium|process=washed|variety=bourbon	33	B	B4	0.1577	kept
band=medium|process=washed|variety=bourbon	33	B	B5	0.3478	kept
band=medium|process=washed|variety=bourbon	33	B	B6	0.0283	
band=medium|process=washed|variety=bourbon	33	B	B7	0.0675	
band=medium|process=washed|variety=bourbon	33	B	B8	0.2040	kept
band=medium|process=washed|variety=bourbon	33	B	B9	0.0448	
band=medium|process=washed|variety=bourbon	33	C	C1	0.1383	
band=medium|process=washed|variety=bourbon	33	C	C3	0.1932	kept
band=medium|process=washed|variety=bourbon	33	C	C4	0.1727	kept
band=medium|process=washed|variety=bourbon	33	C	C5	0.1041	
band=medium|process=washed|variety=bourbon	33	C	C6	0.2403	kept
band=medium|process=washed|variety=bourbon	33	C	C7	0.1514	
