mode_audit_key	scope_type	regional_frame_key	source_market_region	language_tag	data_mode	candidate_count	candidate_level_state	admitted_source_count	admitted_level_state	evidence_path	limitation
mode-audit.SOUTH_KOREA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	SOUTH_KOREA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	SOUTH_KOREA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	SOUTH_KOREA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.SOUTH_KOREA.ko-KR.A	ATOMIC_MARKET_LANGUAGE	SOUTH_KOREA	SOUTH_KOREA	ko-KR	A_USER_GENERATED_SENSORY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.SOUTH_KOREA.ko-KR.B	ATOMIC_MARKET_LANGUAGE	SOUTH_KOREA	SOUTH_KOREA	ko-KR	B_STRUCTURED_PREFERENCE_OR_LIKING	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.SOUTH_KOREA.ko-KR.C	ATOMIC_MARKET_LANGUAGE	SOUTH_KOREA	SOUTH_KOREA	ko-KR	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.SOUTH_KOREA.SOUTH_KOREA.ko-KR.D	ATOMIC_MARKET_LANGUAGE	SOUTH_KOREA	SOUTH_KOREA	ko-KR	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	LATIN_AMERICA_NONBLOCKING	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	LATIN_AMERICA_NONBLOCKING	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	LATIN_AMERICA_NONBLOCKING	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	LATIN_AMERICA_NONBLOCKING	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.pt-BR.A	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	pt-BR	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.pt-BR.B	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	pt-BR	B_STRUCTURED_PREFERENCE_OR_LIKING	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.pt-BR.C	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	pt-BR	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.pt-BR.D	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	pt-BR	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.en.A	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	en	A_USER_GENERATED_SENSORY_LANGUAGE	0	MISSING_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.en.B	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	en	B_STRUCTURED_PREFERENCE_OR_LIKING	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.en.C	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	en	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.LATIN_AMERICA_NONBLOCKING.LATIN_AMERICA_NONBLOCKING.en.D	ATOMIC_MARKET_LANGUAGE	LATIN_AMERICA_NONBLOCKING	LATIN_AMERICA_NONBLOCKING	en	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
