source_route_id	source_family_id	organizer_id	independent_source_family_id	route_disposition	census_item_count	artifact_count	publication_row_count	effective_record_candidate_count	gate_descriptor_candidate_count	disposition_basis
route.wcc_cb_family_recuvl6ke5ntamvmt	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recvf2cxrxubzvsln	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recwe9basqqkoxvj5	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recwhxc7rle7zqklz	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recxlng3ipxb6iycu	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recxq06ux5gfgxrhs	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recy2teswpcbjv1cp	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recykwnhru1auxaqi	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recyw1jgcnirhkrhv	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reczcyupkr51iszzg	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reczsuml2olqsizqw	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reczzrkbelsh9zem5	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cic	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	PROVENANCE_PILOT_ONLY	7	9	79	79	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_competition_bodies	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	2	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_competition_body_registry	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_results	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	2	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_wbc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	PROVENANCE_PILOT_ONLY	7	25	1046	1046	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_wbrc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	8	15	585	585	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_wcigs	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	4	13	319	319	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_wcrc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	PROVENANCE_PILOT_ONLY	10	12	223	223	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_wctc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	4	19	635	635	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_wlac	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	4	19	672	672	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_world_rules	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_world_series	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	7	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
