evidence_claim_key	target_entity_type	target_entity_key	source_family_key	source_key	snapshot_key	evidence_basis	evidence_direction	evidence_scope	evidence_locator	method	configuration_json	support_count	document_count	source_diversity	review_status	limitation
claim.round3h.heo.04	ASSOCIATION_RANGE	acidity-character	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Sour, sour aroma, citric acid, malic acid, and citrus fruit were distinct.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	Cultural translation caveats remain.
claim.round3h.heo.05	ASSOCIATION_RANGE	texture-body-drying	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Mouth drying, thickness, and fullness were distinct observed terms.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	No shared intensity semantics.
claim.round3h.heo.06	QUESTION_TARGET	question-range.fruit-region-reference.fruit	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Citrus fruit and other fruit were observed terms.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	No berry-region validation.
claim.round3h.heo.07	QUESTION_TARGET	question-range.roast-smoke-reference.roast-spice-smoke	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Roasted, burnt, ashy, and acrid provide independent contrasts.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	Project prompt remains unvalidated.
claim.round3h.heo.08	QUESTION_TARGET	question-range.texture-direction.texture-body-drying	family.heo-coldbrew-consumers-2019	pmc.heo-2019	snapshot.pmc6723667.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Heo 2019 Table 3 and reduced observed CATA sets	Mouth drying, thickness, and fullness were separate consumer terms.	{"round":"3H","source_local":true,"pooled":false}	14	1	1	REVIEWED	No information gain estimate.
claim.round3h.cuality.01	MEMBERSHIP	membership.fruit.berry	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	OBSERVED_CO_SELECTION	SUPPORTS	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	Berries was an observed positive quality driver.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Plural-to-singular normalization is declared, not synthetic.
claim.round3h.cuality.02	ASSOCIATION_RANGE	roast-spice-smoke	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	Roasted, burnt, and smoky had distinct observed quality directions.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Generic evidence only; branded scorecard is not reproduced.
claim.round3h.cuality.03	ASSOCIATION_RANGE	acidity-character	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	OBSERVED_CO_SELECTION	MIXED	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	Pleasant acidity and acid/sour appeared as distinct quality drivers.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Adequacy and presence are different measures.
claim.round3h.cuality.04	ASSOCIATION_RANGE	texture-body-drying	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	OBSERVED_CO_SELECTION	CHALLENGES	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	Viscous, astringent, thick, and thin were distinct constructs.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	JAR body adequacy is not intensity.
claim.round3h.cuality.05	QUESTION_TARGET	question-range.family-direction.floral-tea	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	Floral and tea appeared as independent observed quality drivers.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	No Atlas wording validation.
claim.round3h.cuality.06	QUESTION_TARGET	question-range.family-direction.fruit	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	Berries, apricot, citrus, and peach appeared as observed quality drivers.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	No consumer population.
claim.round3h.cuality.07	QUESTION_TARGET	question-range.roast-direction.roast-spice-smoke	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	JAR roast adequacy and separate CATA roast terms support distinct question constructs.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Trademarked method identity is excluded.
claim.round3h.cuality.08	QUESTION_TARGET	question-range.acidity-character.acidity-character	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	snapshot.pmc12938992.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Guinard 2026 generic method architecture and aggregate drivers	JAR acidity adequacy and CATA acidity presence were separate measures.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Adequacy must not be treated as intensity.
