review_item_id	decision	decision_allowed_values	output_tier	output_tier_allowed_values	answer_effect	answer_effect_allowed_values	rationale	reviewer	review_date	lineage_paths
product-review:084		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:085		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:086		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:087		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:088		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:089		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:090		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:091		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:092		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:093		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:094		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:095		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:096		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:097		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:098		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:099		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:100		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
