frequency_key	representative_expression_key	representative_basic_normalized_text	normalized_text	expression_frequency	document_frequency	publisher_prevalence_count	publisher_sample_count	country_prevalence_count	country_sample_count	value_semantics
frequency.firstbloom-a6cb002-pilot-v1.ee167133f20cbe3a17affcb9f1fa1afbb08d0017ce9e12d075f9be9fa91e580e	expression.observed.en.sha256_ee167133f20cbe3a17affcb9f1fa1afbb08d0017ce9e12d075f9be9fa91e580e	chocolate milk	chocolate milk	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6a8e83e945d27225a049dde4c91c148741377099ac540b01fcda3b91f31145e1	expression.observed.en.sha256_6a8e83e945d27225a049dde4c91c148741377099ac540b01fcda3b91f31145e1	chocolate mousee	chocolate mousee	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.01ace5cb07864605cda2e38c69ab6ecabeb7c2ac696210b241b1ca1e9485a536	expression.observed.en.sha256_01ace5cb07864605cda2e38c69ab6ecabeb7c2ac696210b241b1ca1e9485a536	chocolate mousse	chocolate mousse	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.730f9394bdaa8c3f43ba2dd3399451fb3f8166cfae31ab8fec1d85fad912cf51	expression.observed.en.sha256_730f9394bdaa8c3f43ba2dd3399451fb3f8166cfae31ab8fec1d85fad912cf51	chocolate mouth with light fruit acidity	chocolate mouth with light fruit acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.06a18de1fbea6049f6714ba8686b3021b8570411e7873254bfaf93ce4e13bc42	expression.observed.en.sha256_06a18de1fbea6049f6714ba8686b3021b8570411e7873254bfaf93ce4e13bc42	chocolate notes	chocolate notes	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.48b9051fdb9069b94d265b9f57b2e237cbdd3395a169d68b648db93dec1827e8	expression.observed.en.sha256_48b9051fdb9069b94d265b9f57b2e237cbdd3395a169d68b648db93dec1827e8	chocolate orange	chocolate orange	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.4c2ef5c9e3d2d71a2f5135db9c73f27797d37f64438849316650f602fa073485	expression.observed.en.sha256_4c2ef5c9e3d2d71a2f5135db9c73f27797d37f64438849316650f602fa073485	chocolate praline	chocolate praline	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.d7d202a59f99b89a8289f4e7d4dab49dd026e965cbfcf140790bb21cc7f7678d	expression.observed.en.sha256_d7d202a59f99b89a8289f4e7d4dab49dd026e965cbfcf140790bb21cc7f7678d	chocolate profile	chocolate profile	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.4aa3538096704c3a07b704116b8e013fc3887b275259c7f5fec4ab2c1089cc4b	expression.observed.en.sha256_4aa3538096704c3a07b704116b8e013fc3887b275259c7f5fec4ab2c1089cc4b	chocolate pudding	chocolate pudding	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.1d500a47f027f5fc628efcb523cd87340c1d3fd9f1d577f42ca621ca476ce8a8	expression.observed.en.sha256_1d500a47f027f5fc628efcb523cd87340c1d3fd9f1d577f42ca621ca476ce8a8	chocolate raisin	chocolate raisin	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f9226cd899adff4b5f1a86c3886fa3fcf42c2d504fca20d4c7c00fc1da222d77	expression.observed.en.sha256_f9226cd899adff4b5f1a86c3886fa3fcf42c2d504fca20d4c7c00fc1da222d77	chocolate truffle	chocolate truffle	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7e780efd5190788309674ce5369fa011946c71ed302cd1a1837f4505eddbc210	expression.observed.en.sha256_7e780efd5190788309674ce5369fa011946c71ed302cd1a1837f4505eddbc210	chocolate velvety	chocolate velvety	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e01fc199eb173f1e8a665b2613ad414a159f7a4e3e70cedfd0428feffa61c1dc	expression.observed.en.sha256_e01fc199eb173f1e8a665b2613ad414a159f7a4e3e70cedfd0428feffa61c1dc	chocolate-coated prunes	chocolate-coated prunes	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2205a990945a07a249371728a64ea220fe68102bb56fa39348d01ac49141bacd	expression.observed.en.sha256_2205a990945a07a249371728a64ea220fe68102bb56fa39348d01ac49141bacd	chocolate-nut cream	chocolate-nut cream	2	2	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.97a95ca70b5e97bc30ed1c0c50ca0aacaa298c28ea9cf92de0dacd2e86d1ef5c	expression.observed.en.sha256_97a95ca70b5e97bc30ed1c0c50ca0aacaa298c28ea9cf92de0dacd2e86d1ef5c	chocolatey	chocolatey	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.4f01c42763ecaaa2e61e98eab277ccb756eda8cbf5fa8bb5c022824daf13e681	expression.observed.en.sha256_4f01c42763ecaaa2e61e98eab277ccb756eda8cbf5fa8bb5c022824daf13e681	chocolatey with milk	chocolatey with milk	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2dcecc559ef03cb25daabd1c666354920f19cb5e681602bbf1144f6ea8d10a06	expression.observed.en.sha256_2dcecc559ef03cb25daabd1c666354920f19cb5e681602bbf1144f6ea8d10a06	chocolaty	chocolaty	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8087b7beae010216b42bf101163d7c7ccbdcc6710f26bef620f346c91dca6a22	expression.observed.en.sha256_8087b7beae010216b42bf101163d7c7ccbdcc6710f26bef620f346c91dca6a22	christmas cake	christmas cake	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.8966a22a0e29e64a5db33de686d013a1861afb71ec32824d4355fa59f5ca6583	expression.observed.en.sha256_8966a22a0e29e64a5db33de686d013a1861afb71ec32824d4355fa59f5ca6583	christmas pudding	christmas pudding	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.fa09ff01e455a3a63e7826963881fa563e254ffa351579cbfd9e86fda1a366c7	expression.observed.en.sha256_fa09ff01e455a3a63e7826963881fa563e254ffa351579cbfd9e86fda1a366c7	cider	cider	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6011d7a8f33ed8ec9a98ae8103b24310067dd7eb1a6dff6baa3c478612d313a1	expression.observed.en.sha256_6011d7a8f33ed8ec9a98ae8103b24310067dd7eb1a6dff6baa3c478612d313a1	cinnamon	cinnamon	23	23	20	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3f029cd7104b910eafd9539532a9d35441869c8555864c56e276a109d2f8668b	expression.observed.en.sha256_3f029cd7104b910eafd9539532a9d35441869c8555864c56e276a109d2f8668b	cinnamon & candied apple	cinnamon & candied apple	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.35f3084bfcb780bd66c82d92db6cdf72fbb421023fac605fe213e227fc4ce456	expression.observed.en.sha256_35f3084bfcb780bd66c82d92db6cdf72fbb421023fac605fe213e227fc4ce456	cinnamon french toast	cinnamon french toast	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9057d21e5f6097e1f4a574df95df749a5597e74d9ea840d3db40ebc639a0e814	expression.observed.en.sha256_9057d21e5f6097e1f4a574df95df749a5597e74d9ea840d3db40ebc639a0e814	cinnamon hearts	cinnamon hearts	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ddf73468dfe46ca4bcb7b9d7c78743fb90136fc32702eed7748e0aa03cbdbfe2	expression.observed.en.sha256_ddf73468dfe46ca4bcb7b9d7c78743fb90136fc32702eed7748e0aa03cbdbfe2	cinnamon spice	cinnamon spice	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.aa52d7a7d7c3f9662ee046b066c74bd188e651e502c9f71b1c127721bb338218	expression.observed.en.sha256_aa52d7a7d7c3f9662ee046b066c74bd188e651e502c9f71b1c127721bb338218	cirtus	cirtus	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	expression.observed.en.sha256_7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	citric	citric	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.71ea52442d078c5a3407774dfd9021be78c63786d217b0139755a52dfd270727	expression.observed.en.sha256_2fc7bffd20e025051bc49c7e241ad1c3fa54f3c43e849a586cbed80dcc3c091e	citric – acidity	citric - acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.52f9f23c45b58c61bbe90e7437d16a01a7064d63f7f71eae8b8f89295f9939e4	expression.observed.en.sha256_52f9f23c45b58c61bbe90e7437d16a01a7064d63f7f71eae8b8f89295f9939e4	citric acidity	citric acidity	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b9614c058d8cbe9ded63e59df750b305f361386edbd38b8563112012e440d8d5	expression.observed.en.sha256_b9614c058d8cbe9ded63e59df750b305f361386edbd38b8563112012e440d8d5	citric profile	citric profile	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ae9b990a589a1e5eb6c3b548ea79546e3d66f167fdef0973428c0ebf2ba26c33	expression.observed.en.sha256_ae9b990a589a1e5eb6c3b548ea79546e3d66f167fdef0973428c0ebf2ba26c33	citric zest	citric zest	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014	expression.observed.en.sha256_9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014	citrus	citrus	56	56	48	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e5fb85ddc63e3b94696f8095e74108d018d874587e4fe96eb8990cebf6a32335	expression.observed.en.sha256_e5fb85ddc63e3b94696f8095e74108d018d874587e4fe96eb8990cebf6a32335	citrus & caramel	citrus & caramel	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.795b38c2b8ebe8ca8167b037c1363df987437a08d9a9cbfa2e9a3ea81a131189	expression.observed.en.sha256_795b38c2b8ebe8ca8167b037c1363df987437a08d9a9cbfa2e9a3ea81a131189	citrus & floral	citrus & floral	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.cf7712ff511ed546eb29cdffe314f14aecb7ffa846e4f8d1366a18eda0bccd19	expression.observed.en.sha256_cf7712ff511ed546eb29cdffe314f14aecb7ffa846e4f8d1366a18eda0bccd19	citrus acidity	citrus acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ad09523e33ffb12dd090d845385db40a59240d5b4ef1bd98cf41bd8ad7df7307	expression.observed.en.sha256_ad09523e33ffb12dd090d845385db40a59240d5b4ef1bd98cf41bd8ad7df7307	citrus and almond	citrus and almond	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.dab9e1e43bb4ce86569f1aeb7ccbbcfbf535f2f2f4b28cc1f460da299f162141	expression.observed.en.sha256_dab9e1e43bb4ce86569f1aeb7ccbbcfbf535f2f2f4b28cc1f460da299f162141	citrus and blackberry	citrus and blackberry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a273e0239d4b02d5351223a477bd022017279565b748fcd15a89bfd1f53da9ea	expression.observed.en.sha256_a273e0239d4b02d5351223a477bd022017279565b748fcd15a89bfd1f53da9ea	citrus and cane sugar	citrus and cane sugar	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.74122890c08d631714bfdbc96f916a076b5b24ecca2165e5a50f2dda12028ddd	expression.observed.en.sha256_74122890c08d631714bfdbc96f916a076b5b24ecca2165e5a50f2dda12028ddd	citrus and chocolate	citrus and chocolate	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6fc54571b082dc16edb343905d2aa9a804997b845178ff26daa72c25e9367351	expression.observed.en.sha256_6fc54571b082dc16edb343905d2aa9a804997b845178ff26daa72c25e9367351	citrus and floral	citrus and floral	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.6684c86275d8cb06d70b728a5269eedb7d1c6464d4cbad50d554e416afc1ad7b	expression.observed.en.sha256_6684c86275d8cb06d70b728a5269eedb7d1c6464d4cbad50d554e416afc1ad7b	citrus and fuzzy peach candy	citrus and fuzzy peach candy	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.835e2d2bf263ba27344740c51358bacad287d878735735b52cb6e4a107d8fa98	expression.observed.en.sha256_835e2d2bf263ba27344740c51358bacad287d878735735b52cb6e4a107d8fa98	citrus and heavy note of dark chocolate	citrus and heavy note of dark chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f78f918939f2090d30b8591bdbdff686b437acdae668f679d45a9a2d50531488	expression.observed.en.sha256_f78f918939f2090d30b8591bdbdff686b437acdae668f679d45a9a2d50531488	citrus and herbal	citrus and herbal	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.234f73d0798fd03dd8692912f4ac9d6596834d2d3d8a03d9bf9685c50997bdc0	expression.observed.en.sha256_234f73d0798fd03dd8692912f4ac9d6596834d2d3d8a03d9bf9685c50997bdc0	citrus and peach	citrus and peach	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.334f46fb9e7ea327a0bc838dccbb9dac56c9f090a311916d92fe6823781c713b	expression.observed.en.sha256_334f46fb9e7ea327a0bc838dccbb9dac56c9f090a311916d92fe6823781c713b	citrus and savory	citrus and savory	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.ed446852dd3e3e0239eb5fb8db783d80f6ce0dd3d945449779a391b782a340e5	expression.observed.en.sha256_ed446852dd3e3e0239eb5fb8db783d80f6ce0dd3d945449779a391b782a340e5	citrus and sparkling	citrus and sparkling	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b7a2625358241218743f4f653ed322fb6d2d22e110947fb461d80dc824836f92	expression.observed.en.sha256_b7a2625358241218743f4f653ed322fb6d2d22e110947fb461d80dc824836f92	citrus and sweet honey	citrus and sweet honey	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.0af60dd07e251520c228350070b71925fe44c1229e5b50910e43099c1432c3b9	expression.observed.en.sha256_0af60dd07e251520c228350070b71925fe44c1229e5b50910e43099c1432c3b9	citrus and white flower	citrus and white flower	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.f0f05ea271881816f0029ae28a311534323c345ef0f855ca2d96d67d42cdcb83	expression.observed.en.sha256_f0f05ea271881816f0029ae28a311534323c345ef0f855ca2d96d67d42cdcb83	citrus and winey	citrus and winey	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.44c2acdd6fc863322ca04bfc301cd521de6169f445f6d7ec9fd522288410ec19	expression.observed.en.sha256_44c2acdd6fc863322ca04bfc301cd521de6169f445f6d7ec9fd522288410ec19	citrus blossom	citrus blossom	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.0d25d9f6a2495fb7a6eeccf5c081cd3ccb0b320f1308dbf34b5fd6fcc0522fcc	expression.observed.en.sha256_0d25d9f6a2495fb7a6eeccf5c081cd3ccb0b320f1308dbf34b5fd6fcc0522fcc	citrus confit	citrus confit	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.b8a69e325a8b793a9b0c783c7cda549d1fd231968824a51a8b51163cbcf851ca	expression.observed.en.sha256_b8a69e325a8b793a9b0c783c7cda549d1fd231968824a51a8b51163cbcf851ca	citrus fruits	citrus fruits	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.67ca70951b0963cea85b947b6c8f5b71bbf1356679c9c7ede4175e4f9fbf8bdd	expression.observed.en.sha256_67ca70951b0963cea85b947b6c8f5b71bbf1356679c9c7ede4175e4f9fbf8bdd	citrus peel	citrus peel	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.92448d3a6fa96833b9222555fde121c2577a0bd601ea4df1cc81eb86e43b4dc8	expression.observed.en.sha256_92448d3a6fa96833b9222555fde121c2577a0bd601ea4df1cc81eb86e43b4dc8	citrus zest	citrus zest	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.e1a3b8e42e5ab740f52a943dcbe9eb7834c5cd9bca1f2409dd26650dc2f50478	expression.observed.en.sha256_e1a3b8e42e5ab740f52a943dcbe9eb7834c5cd9bca1f2409dd26650dc2f50478	citrusy	citrusy	2	2	2	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	expression.observed.en.sha256_3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	clean	clean	12	12	11	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.4e934c3a09c0e511960aadeeed67138e9b767d5a486553fce754d29e78895be3	expression.observed.en.sha256_4e934c3a09c0e511960aadeeed67138e9b767d5a486553fce754d29e78895be3	clean aftertaste	clean aftertaste	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c40aa155e5dfd80d54b5da91ed1dc10c7a4a970dcb47b8e2e637d70fcc0ff203	expression.observed.en.sha256_c40aa155e5dfd80d54b5da91ed1dc10c7a4a970dcb47b8e2e637d70fcc0ff203	clean and floral coffee	clean and floral coffee	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.58e68b11686b48a79ab369faa5c0bbfa0ffa2daef89bd92e08a79e9203a955e7	expression.observed.en.sha256_58e68b11686b48a79ab369faa5c0bbfa0ffa2daef89bd92e08a79e9203a955e7	clean citrus acidity	clean citrus acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.690a718d176d067480e2192a1906e757deebaed8ba927786867a56566e16c34c	expression.observed.en.sha256_690a718d176d067480e2192a1906e757deebaed8ba927786867a56566e16c34c	clean cup	clean cup	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2de1d08593a1454df4817d8d74fcdf88e051fb4d54579d41e89a698b46ab186b	expression.observed.en.sha256_2de1d08593a1454df4817d8d74fcdf88e051fb4d54579d41e89a698b46ab186b	clean finish	clean finish	4	4	3	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.25e70ce908bc6aab31541fc88670ae2e8ac3632d9b390ff02e81b8fc4a3dd255	expression.observed.en.sha256_25e70ce908bc6aab31541fc88670ae2e8ac3632d9b390ff02e81b8fc4a3dd255	clear flavors of blackberry	clear flavors of blackberry	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.cb192bc368c713c1e47f5018b9407d192a322269385170474c4a26fe1f0b3458	expression.observed.en.sha256_cb192bc368c713c1e47f5018b9407d192a322269385170474c4a26fe1f0b3458	clementine	clementine	14	14	14	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.2840d68b71e2564bcee9d630d53287c30b93dcc755cd9627ca6f90d796182959	expression.observed.en.sha256_2840d68b71e2564bcee9d630d53287c30b93dcc755cd9627ca6f90d796182959	clementine sweetness	clementine sweetness	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.5acfd3356f7175d529bede02f5059ec7aa430f88c451556adaa4f804351dccab	expression.observed.en.sha256_5acfd3356f7175d529bede02f5059ec7aa430f88c451556adaa4f804351dccab	cloudberries	cloudberries	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.9e8c9731465cd632d80ddde8c890cad83b8c96c336e1cb68471bd4e299f8e880	expression.observed.en.sha256_9e8c9731465cd632d80ddde8c890cad83b8c96c336e1cb68471bd4e299f8e880	clove	clove	7	7	6	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.7155c57674808cd6c3daf0b55c372c6ca535bcf6fa3d2d64532f141e35c041b2	expression.observed.en.sha256_7155c57674808cd6c3daf0b55c372c6ca535bcf6fa3d2d64532f141e35c041b2	clove + creamy	clove + creamy	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a95cb6f6726484abfeee9895b6771b818b9c7a5ffe286f1d324a220c34bf1a56	expression.observed.en.sha256_a95cb6f6726484abfeee9895b6771b818b9c7a5ffe286f1d324a220c34bf1a56	coating mouthfeel	coating mouthfeel	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.5caf6da5d5590c64bab53ed3c460a2782b8cc74dd29e4db9d826e479a3f108f9	expression.observed.en.sha256_5caf6da5d5590c64bab53ed3c460a2782b8cc74dd29e4db9d826e479a3f108f9	cocao nibs	cocao nibs	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.740d9472155d310672c71c284d4b91e751b93f8f0a5a3ed9ee01b30f204bf0a8	expression.observed.en.sha256_740d9472155d310672c71c284d4b91e751b93f8f0a5a3ed9ee01b30f204bf0a8	cocoa	cocoa	67	67	49	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
