pair_key	subject_expression_key	object_expression_key	subject_basic_normalized_text	object_basic_normalized_text	subject_normalized_text	object_normalized_text	document_cooccurrence_count	sample_count	npmi	subject_given_object_probability	object_given_subject_probability	subject_document_frequency	object_document_frequency	value_semantics
cooccurrence.firstbloom-a6cb002-pilot-v1.0e3d815d9f181e4b431184b1ccf37255579bf3cd44b6cfbd7b24c24b371627b7	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_1d40956b3dc7297b6989aa77136bf3135a1276fc13d0e9f21a5c0fa42652aa93	balanced	lingering body	balanced	lingering body	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.a28d47343b3831d70d94ecd8dcba8104220f70d3ff07ee609e1ce0eaa77ef223	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_fc66f021c67d064c1490a12b5a4d4d2f5167ca692a16ca12f1f3a4cda29a6fa9	balanced	long	balanced	long	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.a17194b4b3afc1ba9214c5249a1204845db92a65c1e211d08ddda1cc1dbe7165	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_c62a908dd8f1f63c24b3584bae69770014aa881f4e4a01854b83443e1d331534	balanced	long finish	balanced	long finish	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.ad14c29598faa08bf831b910aa0db2f04d1631a57f81fb96b49a1d61cb1f296b	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_eed3375e77d8715ebb4da995cb0b455cad811f0076a0db175302f5d3a3b3c6f4	balanced	notes / cacao	balanced	notes / cacao	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.863d7c45ca6f13b5e817cbf6721ca71c7e9e3dbbf539dc54cd9ab9ee79ba6102	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_3bbd81ca7735640cb5a7f837d52559d6ca22ec9b5892ef4c33da75ada9dad63c	balanced	nutty	balanced	nutty	1	2474	0.21475740707698465	0.047619047619047616	0.045454545454545456	22	21	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.5a6db38d232f5ae14ecb4d5c6e911f39d8de8d0f25d3e7bf52b4654177ae0c7d	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	balanced	orange	balanced	orange	1	2474	0.08039894754092233	0.016666666666666666	0.045454545454545456	22	60	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.7d4156d1e49d9da30ba09711e9f9f04080405c25ddee0ec7144a39def5db5b28	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_8cbbcf29d9cef89675c5f5c1dcfe827d0570416a5aaba30dd0de159661ad905b	balanced	pepper	balanced	pepper	1	2474	0.4269809492682778	0.25	0.045454545454545456	22	4	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.edf8bd7a44c8f40aa23693aae57bede656feea269c24a8e3656a58517402092f	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_58c48602d373404d8acf1b9f0d5fc6de30c9905bc9d489d26efcc41bf1a50e17	balanced	powerful	balanced	powerful	1	2474	0.4637991103536339	0.3333333333333333	0.045454545454545456	22	3	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.6683e1b2026943af09dde27121cb247eb25760585e4a9256ef2fe74fc3bfc799	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_8ef3107982ce01d076f1393131c36ed9ba96cbc0370de313ebf4d363e1a04a6f	balanced	profile / sweet	balanced	profile / sweet	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.7e20fa61360cd234679b5e378b6e21e0a24bf160326d179626ed55a13fc9e3d0	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_7baa68f2418ba82d2545a780c00d7a8778249bbcdaf7369114534874ea6d3bd6	balanced	rich	balanced	rich	2	2474	0.41160206822615897	0.16666666666666666	0.09090909090909091	22	12	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.2721d99c95f3b8b940182b2281909217ce12322edea1e74be934b64cd7d96ca0	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_a97b0931730e83fbf9284ff00a4c5f7a4eef2189dddb89319a6dfa5871e28923	balanced	round	balanced	round	1	2474	0.375088665756868	0.16666666666666666	0.045454545454545456	22	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c8dc125e39dcf408fb37fb191590dc17ab66caa7ba99c32ec4b6882a01131f95	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_728a07126ea01d49ac050b9acca152451ae22ca6c3a67c800759ce50ffb7d68d	balanced	silky	balanced	silky	1	2474	0.375088665756868	0.16666666666666666	0.045454545454545456	22	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1b2045b09cbd3163c3bf7667e6b02e7c88862eeea9ab8818ef1abac84c9c7d5e	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_079f66fe293cb1a6185d5588b13eaadb30475f9c3c6e47495fccfcedbbff7bfc	balanced	smoky	balanced	smoky	1	2474	0.375088665756868	0.16666666666666666	0.045454545454545456	22	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.f2325777f9c7e1e2fa47922c0f4e538b280b805c119490d4f5de01b5c7089edf	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_c0f1779c16d26bac92c4e32fe385d4214da39e7bd6f87aa7a4ce2bef8fb669ed	balanced	smooth	balanced	smooth	3	2474	0.4449675757151372	0.17647058823529413	0.13636363636363635	22	17	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.69148b5a4b60f9e3b0ac62cdc8022559ff6c975dd7700690d78102c49802785d	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	balanced	stone fruit	balanced	stone fruit	1	2474	0.18742374126521613	0.038461538461538464	0.045454545454545456	22	26	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.9c757702293a9de1383d08b28b3d8f0bdf6c79c7428e5c39f6be9b7eadf20290	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	balanced	sweet	balanced	sweet	4	2474	0.3269664079252506	0.07272727272727272	0.18181818181818182	22	55	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.31fd49701b2e83ea8e957a14be52c9a81ef478176518cc8bc93aa1b620ba6119	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_d776f7cf4e43af5c0bc12b5634fa50843c0158263f1552540447d3e28e7528a2	balanced	toffee	balanced	toffee	1	2474	0.12604696248021868	0.023809523809523808	0.045454545454545456	22	42	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.d920e1b349c9e539cb1ca8a2798d338907afda6c4dca8c7c82d95db39ca25fc5	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_5296c024e03e439ba3d72c8e432d4f890b3cd0d2c36d67d428aa1e401e675b69	balanced	vanilla	balanced	vanilla	1	2474	0.09627546832259853	0.018867924528301886	0.045454545454545456	22	53	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.bb5633641087b99449d216ee1568cef883778257c6eaadf1afacf92400f7e8b1	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_3748fbd132cd645a37562a4dd529c91442bfa156adcf96a311c1e1ff98f46636	balanced	walnut	balanced	walnut	1	2474	0.29751412152038537	0.09090909090909091	0.045454545454545456	22	11	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.605f0afaa7eadf65f49a2ff9e4fededaa13e2863ca80e8b2f002bf39d701355d	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_0f0aa408c1832abefd06bced5378aa7945c11b3fe2f24f8a22cd6dbdbe4bccd8	balanced	warm	balanced	warm	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.19f30772ee044473bebda68b2b94f76fe60fdc61927f22409ea188e37b70f6f8	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_32c4feed996880bc92a062dc476f9b8cdb2596a989f2cc5246e9cef605bd5c78	balanced	wine	balanced	wine	1	2474	0.5156913938650438	0.5	0.045454545454545456	22	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.f3446e49398d032ae28441ef5faddbcd6b51a1b86ed74f164b863da0c0124c83	expression.observed.en.sha256_c0905088ba5b80677849d4824f21b8b075ab49c6a7f58b5b84815ccd69f3b0a5	expression.observed.en.sha256_94248b07bc4a3afdae9b70fadad08f59295a37806166f2cb869675d4ee1cda68	balanced	yellow stone fruit	balanced	yellow stone fruit	1	2474	0.6044018384618096	1.0	0.045454545454545456	22	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.46539fa97dd9b55f98cdc20a9e8ff45464cb91d10c25193730089573c5e3425e	expression.observed.en.sha256_92b11220fc5a6ca1d3731d4adeb99b446e60372c148da888e35ddf7abdd7883b	expression.observed.en.sha256_1638110cd905c223dcd180143394368a3c5777950cbc0a52a88ef89f6c555773	balanced and delicate coffee	with notes of dark chocolate	balanced and delicate coffee	with notes of dark chocolate	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.6298f01db699eee96cf200a76647d268bfff4abbeb7e26dad790b40690c22abf	expression.observed.en.sha256_6f6164a5fd8d6e9e495c1211fb8bcb4131e23fcdf0334255cfef8215c1302a76	expression.observed.en.sha256_d7d202a59f99b89a8289f4e7d4dab49dd026e965cbfcf140790bb21cc7f7678d	balanced and robust-bodied	chocolate profile	balanced and robust-bodied	chocolate profile	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.9b84eb658dcad5d800b4f8aa24f03a846cd966efca8f05d77fe01723fa888547	expression.observed.en.sha256_0c090ec00ed9114fc7dfd7745dd3ca107631b56acd220f2d5d8460cf22af85c3	expression.observed.en.sha256_ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76	balanced cup	complex	balanced cup	complex	1	2474	0.6931122830585756	0.09090909090909091	1.0	1	11	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.698cf3da49f64531f740642d0b52ea0a547c60275a0f4a84c51155137d610649	expression.observed.en.sha256_0c090ec00ed9114fc7dfd7745dd3ca107631b56acd220f2d5d8460cf22af85c3	expression.observed.en.sha256_7629aa132532b528cbd6a927e165b92ff3cc947ef48a44680eba5d089cddde42	balanced cup	good body	balanced cup	good body	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.051257c580ca28cf63b13e2a10cc8208ba16dd48830fce013f8a4417191eda69	expression.observed.en.sha256_0c090ec00ed9114fc7dfd7745dd3ca107631b56acd220f2d5d8460cf22af85c3	expression.observed.en.sha256_ce2e3493d701975f2139f5a3ac8985f00f7f06f71b837d13987ba9aacddace1a	balanced cup	sweet apple/pear	balanced cup	sweet apple/pear	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c55440f1b3a35661bf084566abf3c2c684122778275994c8e5acf1cecad8a1bc	expression.observed.en.sha256_b493d48364afe44d11c0165cf470a4164d1e2609911ef998be868d46ade3de4e	expression.observed.en.sha256_099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	banana	black tea	banana	black tea	1	2474	0.4967966259717465	0.0196078431372549	1.0	1	51	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.604a9366387ceffe3dd9147b05be391361835ccff5115a9e6f6f41f0e3be72c1	expression.observed.en.sha256_b493d48364afe44d11c0165cf470a4164d1e2609911ef998be868d46ade3de4e	expression.observed.en.sha256_1c1184cabc4c17a19172e8224cf06d439d044b97af5be2cbc766165665a96b5f	banana	dry milk chocolate	banana	dry milk chocolate	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.bc99024173416aa24ad9e815c854983634ab72c64934865ac6e69b09bdf49c32	expression.observed.en.sha256_b493d48364afe44d11c0165cf470a4164d1e2609911ef998be868d46ade3de4e	expression.observed.en.sha256_70329b1c2fb2a364d806e0cca8471f8cff15c5a6eaf3a7416f94abc9ac6c96ac	banana	passion fruit	banana	passion fruit	1	2474	0.7706868272950583	0.16666666666666666	1.0	1	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.740cf78628139e0feb9a936f17683b5af4ed2649cceb479218d28783e775f946	expression.observed.en.sha256_199d351553711ca209367a41cddd874805a6846061f79280965798673bc178a1	expression.observed.en.sha256_bcfa23380aab7d63d89848b9a7f62ea1e6edbad8d0f3ec458a930adc6ef60989	banana bread	cherry preserves	banana bread	cherry preserves	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.7ba945baaa3ce0e2cd4e38ab2d7a3ebe1c7324ec077e2da8730181ff09690373	expression.observed.en.sha256_199d351553711ca209367a41cddd874805a6846061f79280965798673bc178a1	expression.observed.en.sha256_4aa3538096704c3a07b704116b8e013fc3887b275259c7f5fec4ab2c1089cc4b	banana bread	chocolate pudding	banana bread	chocolate pudding	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.3c406e33eab3f0ff9a1df28f5dc751c389f4360791f6050596f0dcf06e62cfbe	expression.observed.en.sha256_199d351553711ca209367a41cddd874805a6846061f79280965798673bc178a1	expression.observed.en.sha256_dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	banana bread	dark chocolate	banana bread	dark chocolate	1	2474	0.30514084436587735	0.008771929824561403	0.5	2	114	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.2d30008ecdb3f3dbfac4956a9806f07bf9334d3cf22d8bf4670128037b03cc60	expression.observed.en.sha256_199d351553711ca209367a41cddd874805a6846061f79280965798673bc178a1	expression.observed.en.sha256_7f37dea2cd2966359418b92fb9429058e7eda9c52212e405ca55a5cee3d5a1d1	banana bread	fuji apple	banana bread	fuji apple	1	2474	0.6819763826982924	0.16666666666666666	0.5	2	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.ab91d84abc2895f5d6c89a0badfaf977b5686a4d8bc20bb0c799127a7dd9c679	expression.observed.en.sha256_d7a9ead0b15cd7c8f3ba0d573530ad05b70052080825dda30744c9c7f44e07dc	expression.observed.en.sha256_fb1e08db57c3853bc932aaecae6ba0f12b3e9881be52866d717a1cd128955425	barley	golden raisin	barley	golden raisin	1	2474	0.7509582967233508	0.14285714285714285	1.0	1	7	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.250ef5339cc245e49cc44710ef7032ffc656a84d7c5d87585ef7ee7c48438a2d	expression.observed.en.sha256_d7a9ead0b15cd7c8f3ba0d573530ad05b70052080825dda30744c9c7f44e07dc	expression.observed.en.sha256_49ead2b1066bda1e127f6ae0bd163778d08587e3e97d9ed58e8cc99972460a1c	barley	maple	barley	maple	1	2474	0.7706868272950583	0.16666666666666666	1.0	1	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.63011c9384d36b4174f46af131ab481eaa8273d1af7d10dc77a7bc6509df840a	expression.observed.en.sha256_579651b0d574971040b531b66efbc5e607b677aa0d2633ec9eca376020ad8b3d	expression.observed.en.sha256_44c2acdd6fc863322ca04bfc301cd521de6169f445f6d7ec9fd522288410ec19	basil	citrus blossom	basil	citrus blossom	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.773f2d7e0170cf56d267d0cf2cfea6be6bd5331c67111789330962cf8784ae4e	expression.observed.en.sha256_579651b0d574971040b531b66efbc5e607b677aa0d2633ec9eca376020ad8b3d	expression.observed.en.sha256_50f3e013f01817475b9ebf73fc28582dae020a4b5e9a7b3462e3e10397e98b2f	basil	peach tea	basil	peach tea	1	2474	0.911289555403234	0.5	1.0	1	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.bfea1041ae5788789aeab753bff9d7447b8d5a8b9fb04a29626794e92c230480	expression.observed.en.sha256_77563de8f869ce8a5f6f4570751fa06c8c8c76745de393b9a910ea0a3dbb3a13	expression.observed.en.sha256_dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	bergamont	dark chocolate	bergamont	dark chocolate	1	2474	0.3938512889626433	0.008771929824561403	1.0	1	114	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c7d0cdda82356ca109b47377490e99e794b55096d47c76a678c425f485a4d87b	expression.observed.en.sha256_77563de8f869ce8a5f6f4570751fa06c8c8c76745de393b9a910ea0a3dbb3a13	expression.observed.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0	bergamont	floral	bergamont	floral	1	2474	0.4255348082488302	0.011235955056179775	1.0	1	89	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.3e00b9a562920833c2e9be5c2740bbafa48e4e1ee3255ebca13989f02b0c0b65	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	bergamot	berry	bergamot	berry	1	2474	0.2452697549299912	0.07142857142857142	0.038461538461538464	26	14	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.ab703e1b4475ab943bd72eaa32632f8223357fc40cab2f63d338dd0e97b02b8e	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	bergamot	black tea	bergamot	black tea	1	2474	0.07981852877515287	0.0196078431372549	0.038461538461538464	26	51	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.ffcc34918cc4aba6c874c13fd5cae0631820de2648ce9046584d8f584cddac11	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_f90d32ffac71e0a6892b1b9680aeff052d0a92261763aac0091d6d93f6e436bc	bergamot	blood orange and blackberry	bergamot	blood orange and blackberry	1	2474	0.5830219028034065	1.0	0.038461538461538464	26	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1757db69b016750bea6cac0d6c9ea6ed26da688804a114f826f53051353c0359	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c	bergamot	blueberry	bergamot	blueberry	1	2474	0.20618636447099145	0.05263157894736842	0.038461538461538464	26	19	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.6b4e30a5c29f1739e38f84560471bc45b09539c508aa6b8cad20d1911a73cb9d	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_9057285a1bd031b1e63e1c91c8f7b4cc1e0c08437059122f1f639de7247604c4	bergamot	blueberry and peach	bergamot	blueberry and peach	1	2474	0.4943114582066405	0.5	0.038461538461538464	26	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.e904b6341726e5d8e43ccd8d5bf9aa46add60f05ce430481d37cf9eca3795948	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_270d76c78b081db72f35458cc7b0019ced8e29da7ec15a77d99533a0dcb06c1d	bergamot	brandy	bergamot	brandy	1	2474	0.4943114582066405	0.5	0.038461538461538464	26	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.7fb233f6c92bce021557630dc9f9bca4483f28b4012ce7820122ca624a019b1b	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_67ffc4e6bd11066242792e521a222d5bdc18ccaaec16dab2c3238ad98f3d92d1	bergamot	butter pecan	bergamot	butter pecan	1	2474	0.4943114582066405	0.5	0.038461538461538464	26	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1578b203b4545a3405b5d2b4e811789eec0881c262bdd300149deb7de2695ff5	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_8ec31262de82f1f55d2d46199892737d67bfd76c699e2fd893e67192bdfa9759	bergamot	candied fruit	bergamot	candied fruit	1	2474	0.4943114582066405	0.5	0.038461538461538464	26	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c04563625f130a45d3defceda3c3f51d90316d455382c404ad1aaa08cfadac50	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_fa8468f09485c5a9401c9f4a0491cf9450528321909be24bb99f47b339826d67	bergamot	caramelized sugars	bergamot	caramelized sugars	1	2474	0.5830219028034065	1.0	0.038461538461538464	26	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.1a5b9246134699a2fc70e6d22ef9b0f74f8a4e36525d03f2588ce886bb8edb1c	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_0c274639936717793d7695ef0373039e397acdabc247d9953d3c9209a95044cd	bergamot	cedar	bergamot	cedar	1	2474	0.4424191746952307	0.3333333333333333	0.038461538461538464	26	3	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.8d8d45f10e542c16a23fd3d75341865db573fdae392b04caee08eb8c84ea8d21	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_2c74f1d403db57213c16ee769f0384859830f0499cc08d92d37407e6eb55c33e	bergamot	chamomile	bergamot	chamomile	1	2474	0.3537087300984647	0.16666666666666666	0.038461538461538464	26	6	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.5d3bea07eed50fa9bd9a56302ba9b9eecbaa905e0ed990d15def6e6e7da6811d	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	expression.observed.en.sha256_7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	bergamot	chocolate	bergamot	chocolate	1	2474	0.028765475277459547	0.013157894736842105	0.038461538461538464	26	76	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
