observation_key	document_key	ordinal	observation_text	raw_phrase_sha256	unicode_character_count	source_character_start	source_character_end	retained	exclusion_reason	basic_normalized_text	normalized_text	expression_key
observation.firstbloom.release_1039.001	document.firstbloom.release_1039	1		ae885a423bc4b8ade068bba709b1e656c27223c21011b0f689157c48e8651c10	11	0	11	false	rights_complete_field_surface			
observation.firstbloom.release_1039.002	document.firstbloom.release_1039	2	apricot	918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	7	13	20	true		apricot	apricot	expression.observed.en.sha256_918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0
observation.firstbloom.release_1039.003	document.firstbloom.release_1039	3	bergamot	156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693	8	22	30	true		bergamot	bergamot	expression.observed.en.sha256_156beab0ef28d357b196ccddf5a90c85702bcf5c8048d870ed396dd28cc04693
observation.firstbloom.release_453.001	document.firstbloom.release_453	1	Bright	e4378e9c551f7f9cc15393265d53a4bc5d7a08d8605d115c60b6e4cf0bafb8b5	6	0	6	true		bright	bright	expression.observed.en.sha256_a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8
observation.firstbloom.release_453.002	document.firstbloom.release_453	2	fruity	c877647d1eef4e2a539597841d24963407bb2d32fde8cb5cff82f19d9e973d8f	6	8	14	true		fruity	fruity	expression.observed.en.sha256_c877647d1eef4e2a539597841d24963407bb2d32fde8cb5cff82f19d9e973d8f
observation.firstbloom.release_1270.001	document.firstbloom.release_1270	1	Tangerine	44a41bce228dc28e836dc335963d03ee8e865263a7999c08e92d02d0c307ae66	9	0	9	true		tangerine	tangerine	expression.observed.en.sha256_cb48108ea0d1b87a515dc3d6e3427200d98af7795ccc4ad81d85d17c04d0237b
observation.firstbloom.release_1270.002	document.firstbloom.release_1270	2	caramel	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	7	11	18	true		caramel	caramel	expression.observed.en.sha256_a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a
observation.firstbloom.release_1270.003	document.firstbloom.release_1270	3	plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	4	20	24	true		plum	plum	expression.observed.en.sha256_0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99
observation.firstbloom.release_4213.001	document.firstbloom.release_4213	1	Citrus	16eddf1578aee94c7b5263733073b5c63362785e77583fc4b188e5d8881fe3a3	6	0	6	true		citrus	citrus	expression.observed.en.sha256_9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014
observation.firstbloom.release_4213.002	document.firstbloom.release_4213	2	Mazipan	688a0d406c89f9f63e690f3acfdf169898c3685b0701c4a6709272d9e085912e	7	8	15	true		mazipan	mazipan	expression.observed.en.sha256_56ea45c76ce05f9f898afb0117e7f83057f35ec1448ff0c07e4a16a4f7e834fd
observation.firstbloom.release_4213.003	document.firstbloom.release_4213	3		dadcc4a330b017ca9d9ae587547d4db43620fb6b9d27e6230350a7436ef75c1a	14	17	31	false	rights_complete_field_surface			
observation.firstbloom.release_1713.001	document.firstbloom.release_1713	1	APPLE	55562347f437d65829303cf6307e71acf8b84a020989dd218f31586eeafd01a9	5	0	5	true		apple	apple	expression.observed.en.sha256_3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b
observation.firstbloom.release_1713.002	document.firstbloom.release_1713	2	BROWN SUGAR	4b48d0a3fce4103dc8f3d6ef330a50f2e76a75ac5243f4e378a6d0c00ecded27	11	7	18	true		brown sugar	brown sugar	expression.observed.en.sha256_d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b
observation.firstbloom.release_1713.003	document.firstbloom.release_1713	3	CHOCOLATE	3c80353d976990411bc5cce809a682a031da8b1402a223d8688858d6140df730	9	20	29	true		chocolate	chocolate	expression.observed.en.sha256_7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35
observation.firstbloom.release_375.001	document.firstbloom.release_375	1	Blackberry	0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544	10	1	11	true		blackberry	blackberry	expression.observed.en.sha256_fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c
observation.firstbloom.release_375.002	document.firstbloom.release_375	2	honeydew	99a5ec8dee37605d9718ee4d9bcee84fcf1af8b5ead8353e8163229a6087fec9	8	13	21	true		honeydew	honeydew	expression.observed.en.sha256_99a5ec8dee37605d9718ee4d9bcee84fcf1af8b5ead8353e8163229a6087fec9
observation.firstbloom.release_375.003	document.firstbloom.release_375	3	dried fig and lime	415190066de6e7417bf51ed8b96d2b54c36f8a249e0f7be5691f060b45bb647d	18	23	41	true		dried fig and lime	dried fig and lime	expression.observed.en.sha256_415190066de6e7417bf51ed8b96d2b54c36f8a249e0f7be5691f060b45bb647d
observation.firstbloom.release_4531.001	document.firstbloom.release_4531	1		781a80f3e14b02835d94decf5d686c6551e8e8fafefe6a03150c11563d1c3ef8	18	0	18	false	rights_complete_field_surface			
observation.firstbloom.release_396.001	document.firstbloom.release_396	1	Lemon-Lime	cde08e916dff955bf46645cbd261e3aa12f74a7291a8ea3dd686de05ced52aa9	10	0	10	true		lemon-lime	lemon-lime	expression.observed.en.sha256_8298b83eda24001ac2d608f83b4935639ad3f82e4105139dfd763d99949bc681
observation.firstbloom.release_396.002	document.firstbloom.release_396	2	White Grape	fe44e8aa82aba92c9d679a6181a608c7ab555d1c9ea0faadcc8da332847053bf	11	12	23	true		white grape	white grape	expression.observed.en.sha256_1ad25926af75be80d80a6551f4a80010e7436f774874de6d96a05b61d61493da
observation.firstbloom.release_396.003	document.firstbloom.release_396	3	Caramel	dca40757d00d1d85634daa896b0947fc9ef6033fad5a09340c6dd555094f826d	7	25	32	true		caramel	caramel	expression.observed.en.sha256_a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a
observation.firstbloom.release_1882.001	document.firstbloom.release_1882	1	Blackberry	0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544	10	0	10	true		blackberry	blackberry	expression.observed.en.sha256_fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c
observation.firstbloom.release_1882.002	document.firstbloom.release_1882	2	Floral	b579d00d3939d52a938bd668aac42867b420e42ac987dd438beafb1a4f637d20	6	12	18	true		floral	floral	expression.observed.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0
observation.firstbloom.release_1882.003	document.firstbloom.release_1882	3	Hibiscus	b47a49efd2ed642c4b1573315ce18b301783897dc73a84cc6a19371ecf23fc4f	8	20	28	true		hibiscus	hibiscus	expression.observed.en.sha256_c9452dcec3d330f089036f5bdd23c12a421cee51c316169199a3a1596b52e4bb
observation.firstbloom.release_1882.004	document.firstbloom.release_1882	4	Stonefruit	9f9bd796d4192e5c0380c31916060a80a7fc9d725aacb26e877220a03ddbe0ed	10	30	40	true		stonefruit	stonefruit	expression.observed.en.sha256_99f8cc0b0006d781bab2748b861b2cfbb6ee053b21b901bd858ce1d38a57cd3d
observation.firstbloom.release_1882.005	document.firstbloom.release_1882	5	Juicy	872bf483cf82a99880f30bc3b8e7665e6a08ee28f5d7a50856c6706a3a89dc9c	5	42	47	true		juicy	juicy	expression.observed.en.sha256_5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944
observation.firstbloom.release_2632.001	document.firstbloom.release_2632	1	Plum	c8b2fae9f5dc3c52c4e223323f26f5c5e5726210c2da7f7cd3370bce461836a1	4	0	4	true		plum	plum	expression.observed.en.sha256_0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99
observation.firstbloom.release_2632.002	document.firstbloom.release_2632	2	grapefruit and raw honey	ed58ff280e19d4aade84f4ca9a565840ffae657fa3cdd67f55bccb7453139f23	24	6	30	true		grapefruit and raw honey	grapefruit and raw honey	expression.observed.en.sha256_ed58ff280e19d4aade84f4ca9a565840ffae657fa3cdd67f55bccb7453139f23
observation.firstbloom.release_1872.001	document.firstbloom.release_1872	1	Citrus	16eddf1578aee94c7b5263733073b5c63362785e77583fc4b188e5d8881fe3a3	6	0	6	true		citrus	citrus	expression.observed.en.sha256_9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014
observation.firstbloom.release_1872.002	document.firstbloom.release_1872	2	concord grape	6295abce4ea1588dc65a1a6723c4fd9ba717dcf5eaafbb45974db28186508e9e	13	8	21	true		concord grape	concord grape	expression.observed.en.sha256_6295abce4ea1588dc65a1a6723c4fd9ba717dcf5eaafbb45974db28186508e9e
observation.firstbloom.release_1872.003	document.firstbloom.release_1872	3	floral	12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0	6	23	29	true		floral	floral	expression.observed.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0
observation.firstbloom.release_700.001	document.firstbloom.release_700	1		effa25cf1bfdcd57c7b4d8d2bfcdd82ef790f7c709fa627d2cbf6129e9e1dfc5	91	0	91	false	rights_boundary_gt_80_unicode_characters			
observation.firstbloom.release_4521.001	document.firstbloom.release_4521	1		076cde7ac531bd11e8880ba248f009d84b664e4b289d0d3231cff4da36070504	102	0	102	false	rights_boundary_gt_80_unicode_characters			
observation.firstbloom.release_1113.001	document.firstbloom.release_1113	1	Candied Orange	a45832ef0e32948e02896f8e2406cf2dbe9078ed5931d43d4db37e857a3cb843	14	0	14	true		candied orange	candied orange	expression.observed.en.sha256_32d205ad33d2857d1e9205ef3bd4805aa479a4e9727bc37c1d6ae038df0fb187
observation.firstbloom.release_1113.002	document.firstbloom.release_1113	2		ca0c8b4674fa2ad3ccd89234a694fef7eb59c9a098818f34ed67781c8d9bb19c	17	16	33	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_4259.001	document.firstbloom.release_4259	1	Jammy	fe5cab09d9e33c71e816a2409b8a270f68cf5a9b99709269e5eeb7ad5cab64e6	5	0	5	true		jammy	jammy	expression.observed.en.sha256_68eb4dd9bf894f6eb07654d30a42f95b957e1036a87a996d443a5684c87afc46
observation.firstbloom.release_4259.002	document.firstbloom.release_4259	2	Raisin and Aloe	819c3e1bdb05b50d3cafb6424792f0adb9560cc9a922f7c68b853b34f8cd7b1f	15	7	22	true		raisin and aloe	raisin and aloe	expression.observed.en.sha256_4e0e192d9c88251a0f32f3074de28873634c53286db50053d8daeb83e0a73b16
observation.firstbloom.release_4679.001	document.firstbloom.release_4679	1	Citrus	16eddf1578aee94c7b5263733073b5c63362785e77583fc4b188e5d8881fe3a3	6	0	6	true		citrus	citrus	expression.observed.en.sha256_9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014
observation.firstbloom.release_4679.002	document.firstbloom.release_4679	2	Chocolate and Nutty	8e06be70c45493545625709f1c9238b53c2440a938785142f29d305fc1d02cb1	19	8	27	true		chocolate and nutty	chocolate and nutty	expression.observed.en.sha256_62a35812f6ac13755ac0caa433731094c890210a1defd9e9839ce8a5b1a6c87a
observation.firstbloom.release_620.001	document.firstbloom.release_620	1		43aa26f27f2345119b2108cf4397c0da2821a2ec0490650e90972c35df7a32ca	44	0	44	false	rights_complete_field_surface			
observation.firstbloom.release_2601.001	document.firstbloom.release_2601	1	Jasmine Green Tea	3e08126285b2ae3516e5bb88dcc0ee106262303f809dbaea337bea69adac0b8f	17	0	17	true		jasmine green tea	jasmine green tea	expression.observed.en.sha256_3ed80d318bb80e640cdd2bf9bcafae9ccfeb81c2423a0700fce0bd9d03994e0a
observation.firstbloom.release_2601.002	document.firstbloom.release_2601	2	Sweet Lemon	684abf8be301ed37e604a803ca38e20d85e782be500e53f403a3c4d990b8313f	11	19	30	true		sweet lemon	sweet lemon	expression.observed.en.sha256_d954fdb26733d2fc24931ea8e8ae53bf9fbc857ea8941c4653025ac3d949ddbe
observation.firstbloom.release_2601.003	document.firstbloom.release_2601	3	Honey	ebcf983695346eea63258d8ab772084bb91b6d51b529ae8b00121f2fa323831c	5	32	37	true		honey	honey	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6
observation.firstbloom.release_2601.004	document.firstbloom.release_2601	4	Refreshing	f92e2ad582c0e13f47dba0eca00d89d87024704c0c8b58ea07de7845f28817a0	10	39	49	true		refreshing	refreshing	expression.observed.en.sha256_0b61ac5d9426518ad7908a62037255c6881f9a5fa404ef3b99c24baa2111a174
observation.firstbloom.release_613.001	document.firstbloom.release_613	1		aadbbaafd3a495b6808e5779287dc5ccab01967b18398955d3f8c178c76ccd7f	79	0	79	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_613.002	document.firstbloom.release_613	2		7afa00b0567af17992a3fc900e57fcfdc28765ee85e3d7e5a23491dbb266988c	51	81	132	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_621.001	document.firstbloom.release_621	1	Dark chocolate	21831c7b2066c2b73756fc0b976ade1a3f0465d63989d4f6d7d8872bca6aebfb	14	0	14	true		dark chocolate	dark chocolate	expression.observed.en.sha256_dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be
observation.firstbloom.release_621.002	document.firstbloom.release_621	2	hibiscus	c9452dcec3d330f089036f5bdd23c12a421cee51c316169199a3a1596b52e4bb	8	16	24	true		hibiscus	hibiscus	expression.observed.en.sha256_c9452dcec3d330f089036f5bdd23c12a421cee51c316169199a3a1596b52e4bb
observation.firstbloom.release_621.003	document.firstbloom.release_621	3	red apple	510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b	9	26	35	true		red apple	red apple	expression.observed.en.sha256_510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b
observation.firstbloom.release_621.004	document.firstbloom.release_621	4	panela (unrefined cane sugar)	0be612067ff036e375ceb1df9619818def1561dc14a19c1d0d8f47686074d2a5	29	37	66	true		panela (unrefined cane sugar)	panela (unrefined cane sugar)	expression.observed.en.sha256_0be612067ff036e375ceb1df9619818def1561dc14a19c1d0d8f47686074d2a5
observation.firstbloom.release_625.001	document.firstbloom.release_625	1	Full bodied and creamy	5645725c4506914473c197206aaa16fa13ac9158fa3a6e6c85f8595d41196132	22	0	22	true		full bodied and creamy	full bodied and creamy	expression.observed.en.sha256_5d35e6fd600d7efc26140ec3d67658c29f43c6de67c5260e85a04930b250aeea
observation.firstbloom.release_625.002	document.firstbloom.release_625	2	syrupy sweetness cantaloupe	2da809fb5107c52eefea5c7fa5fb38dc89a8a65135b97f76f67237a8b7c5620c	27	24	51	true		syrupy sweetness cantaloupe	syrupy sweetness cantaloupe	expression.observed.en.sha256_2da809fb5107c52eefea5c7fa5fb38dc89a8a65135b97f76f67237a8b7c5620c
observation.firstbloom.release_625.003	document.firstbloom.release_625	3		6780c2e79f8683086d8611058743ede5a6ff0d00bf05bc54c8108cd6e4baa1d1	31	53	84	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_3906.001	document.firstbloom.release_3906	1	Notes of cherry	f6f69269123008c770065d563992b5f7a5fd7eb8147876beab9c4c10d5c2743c	15	0	15	true		notes of cherry	notes of cherry	expression.observed.en.sha256_e7c1c1e5fda7e6c8c53a3428ffc0440d042677ffb4fad9122f34a03536cd321e
observation.firstbloom.release_3906.002	document.firstbloom.release_3906	2	boysenberry	6286f126eed283a85297855d25bd0bf245a3336445ea2f0527afb01aa206ac20	11	17	28	true		boysenberry	boysenberry	expression.observed.en.sha256_6286f126eed283a85297855d25bd0bf245a3336445ea2f0527afb01aa206ac20
observation.firstbloom.release_3906.003	document.firstbloom.release_3906	3		07f3b06743637b35244296f2e606a2ba70286f80ff769cfac4906a37277edb27	20	30	50	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_1704.001	document.firstbloom.release_1704	1		773e7ff85ec6d2c5a933601c045ac52fe23b13a17f215db7752c89daf44e9f02	23	0	23	false	rights_complete_field_surface			
observation.firstbloom.release_662.001	document.firstbloom.release_662	1	Lemon	6d33a9d4d7809052cf8c6b59c84ffbb2d16ef7452c0d403776e7fd16d8f8fc07	5	0	5	true		lemon	lemon	expression.observed.en.sha256_f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7
observation.firstbloom.release_662.002	document.firstbloom.release_662	2	jasmine	6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f	7	7	14	true		jasmine	jasmine	expression.observed.en.sha256_6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f
observation.firstbloom.release_662.003	document.firstbloom.release_662	3	plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	4	16	20	true		plum	plum	expression.observed.en.sha256_0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99
observation.firstbloom.release_1532.001	document.firstbloom.release_1532	1	Citrus	16eddf1578aee94c7b5263733073b5c63362785e77583fc4b188e5d8881fe3a3	6	0	6	true		citrus	citrus	expression.observed.en.sha256_9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014
observation.firstbloom.release_1532.002	document.firstbloom.release_1532	2	toasted nuts	a2fe8e9c9c117e671a7f3a4f8a40608b214ac46ad33cc83a7099809b3fdbb762	12	8	20	true		toasted nuts	toasted nuts	expression.observed.en.sha256_a2fe8e9c9c117e671a7f3a4f8a40608b214ac46ad33cc83a7099809b3fdbb762
observation.firstbloom.release_1532.003	document.firstbloom.release_1532	3	chocolate	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	9	22	31	true		chocolate	chocolate	expression.observed.en.sha256_7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35
observation.firstbloom.release_2402.001	document.firstbloom.release_2402	1	Caramel	dca40757d00d1d85634daa896b0947fc9ef6033fad5a09340c6dd555094f826d	7	0	7	true		caramel	caramel	expression.observed.en.sha256_a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a
observation.firstbloom.release_2402.002	document.firstbloom.release_2402	2	Red apple	51fec37ecf5c1c486878e13b2e228072eba7e877276484e70a85c8fb82171c5c	9	9	18	true		red apple	red apple	expression.observed.en.sha256_510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b
observation.firstbloom.release_2402.003	document.firstbloom.release_2402	3	Juicy	872bf483cf82a99880f30bc3b8e7665e6a08ee28f5d7a50856c6706a3a89dc9c	5	20	25	true		juicy	juicy	expression.observed.en.sha256_5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944
observation.firstbloom.release_1670.001	document.firstbloom.release_1670	1	Red Currant	adb920b4266e9ca879155cc5489606f66f2f297a60b3c3ae2c0bfe8f73fbef43	11	0	11	true		red currant	red currant	expression.observed.en.sha256_1bd3f74eb7f20d686c9c25a9e4d924b97c9a3e6ad251838b2f305d6a942cc7ed
observation.firstbloom.release_1670.002	document.firstbloom.release_1670	2	Peach	2b1f3f0b7afa26e4a824521353a48880a0dbb7c6f7a371056fbde0c6ee03f407	5	13	18	true		peach	peach	expression.observed.en.sha256_85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265
observation.firstbloom.release_1670.003	document.firstbloom.release_1670	3	Concord Grape	a786b95d7e7d89d79e915fa65c7bdbf209ca4c2031849b725f61e6a3444b5243	13	20	33	true		concord grape	concord grape	expression.observed.en.sha256_6295abce4ea1588dc65a1a6723c4fd9ba717dcf5eaafbb45974db28186508e9e
observation.firstbloom.release_862.001	document.firstbloom.release_862	1		a61c254e6f4e5fe86e90ac52bee7cd8c8367b2f9b50310410f8024d29e9aacab	9	0	9	false	rights_complete_field_surface			
observation.firstbloom.release_862.002	document.firstbloom.release_862	2	Caramel and Full Bodied	0617bc3d096d1cf61097b63cbc9bf57149ad66633cd3163534ac68261f89432c	23	11	34	true		caramel and full bodied	caramel and full bodied	expression.observed.en.sha256_e030e3cdbfb3e3ac88a37daf41e6b44bd9cae9b044d11c6e1e59388466eea5cf
observation.firstbloom.release_4253.001	document.firstbloom.release_4253	1		187b7feb8e8961e31fb03db43c4170b0279cfd0c74c301730bc2dd4dfacd30aa	75	0	75	false	rights_complete_field_surface			
observation.firstbloom.release_932.001	document.firstbloom.release_932	1	A dark chocolate backbone	52b998e09cb070d4964206eff28c02b2a66c412a1f96d7bc29db18e59e13b9da	25	0	25	true		a dark chocolate backbone	a dark chocolate backbone	expression.observed.en.sha256_a85388a573bbb628b2f3a31e01de427b7241baaa51b158f57a41650bfdd89e58
observation.firstbloom.release_932.002	document.firstbloom.release_932	2		d1c61bf83c82a9e2a5b73926848dd0c4a67c2c734f31c85dace268c775b44743	48	27	75	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_1234.001	document.firstbloom.release_1234	1	Floral	b579d00d3939d52a938bd668aac42867b420e42ac987dd438beafb1a4f637d20	6	0	6	true		floral	floral	expression.observed.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0
observation.firstbloom.release_1234.002	document.firstbloom.release_1234	2	elegant	b4c3858f5f1e123198e835de04b87155d7a40e66e9b70805daf3ad439cd2fa3b	7	8	15	true		elegant	elegant	expression.observed.en.sha256_b4c3858f5f1e123198e835de04b87155d7a40e66e9b70805daf3ad439cd2fa3b
observation.firstbloom.release_1234.003	document.firstbloom.release_1234	3	red fruit	f1bc1abd2c1542f016311238199a982d411974b1b0d8f6a10bb8276b9ada306f	9	17	26	true		red fruit	red fruit	expression.observed.en.sha256_f1bc1abd2c1542f016311238199a982d411974b1b0d8f6a10bb8276b9ada306f
observation.firstbloom.release_1234.004	document.firstbloom.release_1234	4	berries	e13fb53a594fa513afc34fa78b2353690e85fe1ad7414857c99ccfb97c818251	7	28	35	true		berries	berries	expression.observed.en.sha256_e13fb53a594fa513afc34fa78b2353690e85fe1ad7414857c99ccfb97c818251
observation.firstbloom.release_4393.001	document.firstbloom.release_4393	1	White chocolate	7142ca254427d7f03d4a4c8ae7000f095fbeccba7c8fef486ab4fcc3eedd5ae2	15	0	15	true		white chocolate	white chocolate	expression.observed.en.sha256_8d8df47519806c666bae419d1aff314f5f87ce1bee09dcd8cc411ab49d16511c
observation.firstbloom.release_4393.002	document.firstbloom.release_4393	2	macadamia nut	107930f1ec6ec35990552df6c9c5364b0a6f593d83e26b1020fe804368af99ee	13	17	30	true		macadamia nut	macadamia nut	expression.observed.en.sha256_107930f1ec6ec35990552df6c9c5364b0a6f593d83e26b1020fe804368af99ee
observation.firstbloom.release_4393.003	document.firstbloom.release_4393	3	elderberry	f1915a182a1e82257c1cb2e4c5b20676eada7671b9200a38adfc8c8ea776a2bd	10	32	42	true		elderberry	elderberry	expression.observed.en.sha256_f1915a182a1e82257c1cb2e4c5b20676eada7671b9200a38adfc8c8ea776a2bd
observation.firstbloom.release_4393.004	document.firstbloom.release_4393	4	star anise	aab8b8d556820d47e2e4ea2faa3aab2a730ad8386ba9f30b457969314b2ec591	10	44	54	true		star anise	star anise	expression.observed.en.sha256_aab8b8d556820d47e2e4ea2faa3aab2a730ad8386ba9f30b457969314b2ec591
observation.firstbloom.release_4185.001	document.firstbloom.release_4185	1	Red currants	e58b2a4b30ea29989a22bc5db63420fc345f18ca22adf0b944ed0685116bc3fa	12	0	12	true		red currants	red currants	expression.observed.en.sha256_5443775e83a1e2c4943e43c01e2258c09e7dcef604173373425061a34c9e64b0
observation.firstbloom.release_4185.002	document.firstbloom.release_4185	2	apples & chocolate	d58f75145b2626ec6f969c2ce4f164dabe6a6567845dc9e3b31d5b9cee40c136	18	14	32	true		apples & chocolate	apples & chocolate	expression.observed.en.sha256_d58f75145b2626ec6f969c2ce4f164dabe6a6567845dc9e3b31d5b9cee40c136
observation.firstbloom.release_991.001	document.firstbloom.release_991	1		4f6ab19aca12425ec450f8378110efc46bc50791610303f458a8e7985658190d	92	0	92	false	rights_boundary_gt_80_unicode_characters			
observation.firstbloom.release_1000.001	document.firstbloom.release_1000	1	Blackberry	0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544	10	0	10	true		blackberry	blackberry	expression.observed.en.sha256_fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c
observation.firstbloom.release_1000.002	document.firstbloom.release_1000	2	Brown Sugar	5e356f10ef7b19891dcc27e5fd0dd87d5e930881eef225ba9a993e5a9a6a0eab	11	12	23	true		brown sugar	brown sugar	expression.observed.en.sha256_d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b
observation.firstbloom.release_1000.003	document.firstbloom.release_1000	3	Cacao Nibs	6cf035916bead8e4e82986aeb5e45aaef39a5e9fd56e443772ab2be9559888ee	10	25	35	true		cacao nibs	cacao nibs	expression.observed.en.sha256_b6e4221dfda0c45f514754037af017f6b3adc6bc583df983067bfb73c740a1d6
observation.firstbloom.release_2697.001	document.firstbloom.release_2697	1	dried apple	12c4c84abaabfbd67c7e7fbd9c3cc43a198148c81b2b3b09eea23571f7386982	11	0	11	true		dried apple	dried apple	expression.observed.en.sha256_12c4c84abaabfbd67c7e7fbd9c3cc43a198148c81b2b3b09eea23571f7386982
observation.firstbloom.release_2697.002	document.firstbloom.release_2697	2	granola	89601a2c41e3b6bc691048f6228756a0f4a60373c07c3578d798486028d741c1	7	13	20	true		granola	granola	expression.observed.en.sha256_89601a2c41e3b6bc691048f6228756a0f4a60373c07c3578d798486028d741c1
observation.firstbloom.release_2697.003	document.firstbloom.release_2697	3	maple syrup	549819b27ee092f84cbc4dab9aec5e10a2b64d44069133b1ae5d238df179d967	11	22	33	true		maple syrup	maple syrup	expression.observed.en.sha256_549819b27ee092f84cbc4dab9aec5e10a2b64d44069133b1ae5d238df179d967
observation.firstbloom.release_2697.004	document.firstbloom.release_2697	4	milk chocolate	7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509	14	35	49	true		milk chocolate	milk chocolate	expression.observed.en.sha256_7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509
observation.firstbloom.release_2697.005	document.firstbloom.release_2697	5	sweet	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	5	51	56	true		sweet	sweet	expression.observed.en.sha256_b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d
observation.firstbloom.release_2697.006	document.firstbloom.release_2697	6	smooth	c0f1779c16d26bac92c4e32fe385d4214da39e7bd6f87aa7a4ce2bef8fb669ed	6	58	64	true		smooth	smooth	expression.observed.en.sha256_c0f1779c16d26bac92c4e32fe385d4214da39e7bd6f87aa7a4ce2bef8fb669ed
observation.firstbloom.release_2697.007	document.firstbloom.release_2697	7	creamy	7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c	6	66	72	true		creamy	creamy	expression.observed.en.sha256_7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c
observation.firstbloom.release_1067.001	document.firstbloom.release_1067	1	Cocoa	527859c0ad13e24ca8c9b65edd36de55aaf1b66a5c4a1419865a5e77a9447184	5	0	5	true		cocoa	cocoa	expression.observed.en.sha256_740d9472155d310672c71c284d4b91e751b93f8f0a5a3ed9ee01b30f204bf0a8
