cleaned_descriptor_identity	canonical_concept_id	semantic_class	mapping_state	cleaned_assertion_support	effective_record_support	source_family_support	year_support	gold_support	silver_support	bronze_support	rights_affirmative_support	rights_pending_support	rights_unknown_support
cleaned-form:8a3224be38e7bd4668d3b664		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:8ab7d8548a9a844cc15713a9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	2	1	0	2	0	1
cleaned-form:8d276e5af51d84afa71264b6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:8d56947b408b2feb50cad0a5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	0	3	0	0	0	3
cleaned-form:8d92bcadd135be00b2b4a994		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:9025a0d3e38633e66f624838		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:903ea898491c932066d597ee		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:907b33786620a78605e92bd3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	3	0	1	2	0	0	3
cleaned-form:972a3257ff17ad23733282ca		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:9799613a9a24f9fdf6889165		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	2	1	0	0	2	1
cleaned-form:97a318ea1fb271ed91fa982c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	0	3	0	0	0	3
cleaned-form:98e037737e012b59ad3159d2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	3	1	2	0	1	0	2
cleaned-form:992c812e2b3074466600a23f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:a0a69888e626ceb8910c7003		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:a1f3ac360f91c84cf776249a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:a4158ba107bf511f2868913e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:a48a707eb53f0722dc2ff8ba		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:a5ad895656074bb129303743		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:a5cc7f88a488bec6850869f4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	3	1	2	0	1	0	2
cleaned-form:aac1b2fc3b130fafd9765295		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:ae5408c399523ce70613fe7c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:aec28e68553c281bc2f2f54d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	0	3	0	0	0	3
cleaned-form:afb888036cdaa7f9de18f394		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:b1ac925abd78d567db945a68		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:bbd13852609e32006653a34a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:bd596c9adb276afabb749d64		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:bdcf3139e2d2e9e58d5d6b99		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	2	1	1	3	0	0	3	0	0
cleaned-form:bdd6bd186c72095b54b4ace3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	0	3	0	0	0	3
cleaned-form:c1a9ce1c510c4e0b1ce9ba55		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	2	1	0	2	0	1
cleaned-form:c245aed4340cd2c8039ee054		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:c6a1427d7119cd3c049d4fe0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:c6ef9b93d19302653fa4c1e0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:cbbcacaf0d582e760874a68b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:cc4f343a45bf2cd957f6f00a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:d1e07e66af0633f911539651		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	0	3	0	0	0	3
cleaned-form:d23de180bc826d4bac2c61e4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	1	2	0	1	0	2
cleaned-form:d32d3cb5b3d2d852b56ce83f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:dbe002e94470b7393c0007d2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:dcd6f435821abc663b628939		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:dcfe076791ccd85b8baa51bc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:dd01cb2a56ceb62ecb205a32		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	2	1	0	2	0	1
cleaned-form:dd3337b93399530a054ff40d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:df1af2abc6597cc486fafaf4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	1	2	0	1	0	2
cleaned-form:dfe5f412eab7242264ea7ff0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:e24415683066ee3ad1c30f76		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:e60a0dfc08a94dabb221d8a2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:e8298542358283d3f0957aef		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:efdfc96f94ef03d415014dac		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:f2ff109834f6671d78ebe38a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:f5531c478333ce24c912e58c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	2	0	3	0	0	0	3
cleaned-form:f5b1f644f7c128b6522f2f49		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	3	0	3	0	0	0	3
cleaned-form:fa0004f2ed41271399fde453		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	0	3	0	0	0	3
cleaned-form:fb0e1693b600e9d10b7db4a0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	0	3	0
cleaned-form:fdab72dd2703641928a45fce		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	1	1	3	0	0	3	0	0
cleaned-form:fe89356ef5dbee7541423599		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	3	3	2	2	0	2	1	0	0	3
sensory.eucalyptus	sensory.eucalyptus	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	3	3	1	3	0	3	0	0	0	3
sensory.smoky	sensory.smoky	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	3	3	2	3	1	2	0	1	0	2
sensory.syrupy_mouthfeel	sensory.syrupy_mouthfeel	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	3	3	1	3	0	3	0	0	0	3
cleaned-form:0178fa91fd0fe5bdd059ffec		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:03190bc6ba0a2e2a866cad96		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:036bd2e2d500ea3d9d4257f8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:04435191dd4c368687221fab		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:05870c7faa3787814e143b5c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:076e69522f9cbf2a29af5fba		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:0844df8fee9eeadaa344bc7e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:0a4ef253e3fef22cb9d3bc52		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	2	2	1	1	0	1	0	1
cleaned-form:0b63783554f32ff932daadee		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:0beca1c4f3e61feb51b43b1e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	1	1	0	0	1	1
cleaned-form:0d0548eabbf94fa2459981f4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:0d1008597e98fcfaa19cc296		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:0e1deb411796ac9b40d5d736		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:0e7de00c03e2497bc6f87567		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:0f57ea044b812c6b509cafb6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:0fc1bbc50d27bedfaae47f08		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	1	1	1	2	0	0	2	0	0
cleaned-form:100982cff6514d03909ef494		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:10c291e27c28578a64c57992		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:12f8cbef355ffd857c5c258e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:13cbbf995f33eace50efaf52		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:13cfa0409143dff0189c68c4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:174b28e803721afe6b524090		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:19c8033b70cf5096608375a5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:1b2afab9db7505b7f52bdc7c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:1b83f1df9e43a236fe712449		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:1c5768e26320774b86ebd525		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:1cc5293bae2c55c694ed9bdf		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:1dcde5f994d37981fa47f379		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:1f36113c61fad836e3f47115		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:1f700a857f48b30b3237cf48		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:1f8729702f855687524eb7a5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:1fc8a12995092da3f626ac22		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:20bd6d426f7ac44dd823113e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:221f1ba905d29b4edd16d01a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:22e5c3e2904c3f174737050d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:23c69ac3898845d194cfdeea		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:240d6258cfe821a64cd6db7f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:261b152862d1d614014496a6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:26484284e63a6a57ac1e9a5d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:2697f37f91462a00a64c6f16		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:279caaa01b4e5323fcf70ee9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:292bdd381b06dfb9fee4a0be		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	1	1	1	2	0	0	2	0	0
cleaned-form:29b1f6d4a36d4dfd09d2b7e7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	1	1	1	2	0	0	2	0	0
cleaned-form:2aba4237048a871d359a2846		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:2c368322161c7ffb09b1bc6d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:3252503ad6ced2e6d0c846aa		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:328f78c75858fccdf7890385		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	2	2	1	1	0	1	0	1
cleaned-form:3318c8ea66198cdcd16f6800		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:333c71aa6b25328641722613		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:33a5c8e80138e5f894356dc7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:34c2361a4391654016d485d6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:34c4ba8f5ba5f40e56e4056a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:35acdfa5303e0067480b534c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:35e13eaefe74facfd46ec26d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:380b60069b6247252434a749		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:3a8132018824f546b68caf22		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:3ceb6dae84860661eff33d00		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:3d0a3ff122670322ec6c82cc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:3d6744ef0e476284579ac16e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:3dc97b7013a6f2bb68dd84bd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:3df7bb91243aa3d7ddb9244f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:40ef789623d1b4c92be84606		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:411d175545314788be0ee22c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:4238b2540b3b9e8680909896		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:445ca6eb84d257e5297ec9ec		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:448d62d55745dd454812c8f9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:44ba28266e6b499827490347		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:44cc7ac6510fd7d0d7361a9a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:4513e77f2d700ed22d89e9aa		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:467387169fd67115c880d3ac		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:4772ee9b4caeb9447cb33797		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:481ba4019c9d2710c3386537		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:49ead2b1066bda1e127f6ae0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:4a8c5c8c02eaa9a8cff01c69		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:4bf24f51120e83746b93f52e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:4c3fb9aa2c01430e3cbe2e82		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:4c44d1f41fc15c64ea3f698b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:4e6da10ac0bc5916b69bf332		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:4f730cf232578876b54a68bd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:50f3e013f01817475b9ebf73		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:5140d5c504538eca8b8c7706		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:515917bf0e02e07e5909a0b5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:523f635cc5943b1668363258		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:52437b4c12ea96a1e3d9c66c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:5288c596e2c176db922f9612		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:530a87ea00b9f18bf955b586		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	1	1	0	0	1	1
cleaned-form:5457326b35d681e68686237b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:559b39e87f194d7637a7296c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:560adf435246adcd7e3c6d62		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:579651b0d574971040b531b6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:5823ce42f83a0e9c6677267a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:58c48602d373404d8acf1b9f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:5a162a9b504bc2cf2c989fd6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:5aa4162fed7efda6f36323c2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:5ac00c5b094f62a1407d5fee		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:5b27328d0f6f4c856d0d8b78		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:5b42389ef84139ae8643af2a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:5c31a306abf3075f6a738a08		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:5c8359a4ae79950a6d432c89		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:5cc79f6d1855f0fdc89d31a0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:5ee406827e0ccd662ea7da67		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:5ef8d6aaf032ec3a25f52611		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:602d04539175d0a93de9e571		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:609ccf84451ffb4e146e4ff8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	1	1	1	2	0	0	2	0	0
cleaned-form:60daa8b86a4fb6251d88a3f7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:60e505e26e12b785ea443c70		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:6286f126eed283a85297855d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:62c5cccd072631f091b9c6d8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:6427f9b6f5cf36ae50b7ac51		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:660fb1c7dbd938c9f1fefd9a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:664aaaa9461c914b1031cf7a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:67ca70951b0963cea85b947b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	2	1	1	1	0	1	0	1
cleaned-form:6a4f827ccbca2be589bf5f50		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	1	1	1	2	0	0	2	0	0
cleaned-form:6bf38c8dbe8546a13aba5164		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:6d002154ca2a89d964a825d6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:6eaf141afb05baff85d459d0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:7036978aa43908cd2aee0d50		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:71a6bf62b330d44f89e15dc4		BROAD_SENSORY	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:728daf186c673c37f8e7d039		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:729fbf431374146c106ad888		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:78bf2a733b67880d5babb282		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:792231a0a6442aaad83e7c6d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:79f9550e027130e35b207dca		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:7b12d56d9e436316bc821de5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:7b789e73d1e66668db801c13		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	2	0	0
cleaned-form:7ba3185792174977ebda4632		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:7baef513d86be18f6ca73ec5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:7d0ed167de84c9fca0a89b63		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
cleaned-form:7e2372f4115c43bac7248772		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	2	2	1	1	0	1	0	1
cleaned-form:7e73b026cfd1b008c5580cc3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:7f37dea2cd2966359418b92f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	2	0	2	0	0	0	2
cleaned-form:7fa7e8417a76c4e9ac367403		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	2	0	0	0	2	0
cleaned-form:8048ea6ff9ef34b69624ea34		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	2	2	1	1	0	2	0	0	0	2
