language_occurrence_key	language_document_key	language_expression_key	raw_source_phrase	source_locator	observed_value
language.occurrence.firstbloom.sha256_f182af0dfe361f9ba9924ff677b020acc50b81eac99eec1aec1e8e96ac6f1609	document.firstbloom.release_1736	language.expression.en.sha256_9f32cb49e0e6b6f01982438bd2cad915ef7964473cc3fbce3360a87b740f134f	defined flavours of cooked peach	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_84c7778098e5c736524cc5aa50666100194901531df5dacec1cee45d38c8953c	document.firstbloom.release_1737	language.expression.en.sha256_7ee840f24106338624f71908ffe029b1829077f79d358fcf16235a606f8e29d6	bergamot orange and agave sugar with a dense	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_387523bd3bf73ff7a07867388286597dec2387ae6e9314db5d99d1b635640b4a	document.firstbloom.release_174	language.expression.en.sha256_ddbfe882198435a4e10b9ef255603126ef835d0ea4a92dfa4c89ac24aacef050	candied lemon + full body	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_c6480aa4b8d8c77118d6f3e9a9cf95f1030361e424292c248b32806451bb635c	document.firstbloom.release_1741	language.expression.en.sha256_30716b79ffef7a7de183d3f77cbc1bafadcea5dec51e78d1534da35af70c4319	Candied and floral	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9d266bf1a5395cc38716a5bc2a16e36fd76b43c317842113b5f03857d8e5eb0f	document.firstbloom.release_1744	language.expression.en.sha256_c785ca8de01f9b97b3732585fe8e7ddeb1342fd32fc68dcc7a67a83f44d414d2	orange sherbet	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_31788bd51e643594ab6bf2eca5515bed253ebbbfe7f79b2f79355ec94328f2d3	document.firstbloom.release_1744	language.expression.en.sha256_3dcfdcd84ea6b9f0e906d9fab78d0f082073e92cfe1d71c291d1b006b6b187fe	neopolitan wafer	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_8c63ebe2571fb14ac4ba3aec9872a28e0c1d6c29ee4b28d99557c69df78a7d80	document.firstbloom.release_1747	language.expression.en.sha256_8a8294fb7097c12d0ab0bf0916ee1583a8def3be5160880454ced4cc99bec4df	PEACH NECTAR	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_56693d48d8024ee68790e5ff3976a20e4d32734d4f44b684265b4f00f5de94ca	document.firstbloom.release_1755	language.expression.en.sha256_c1d37387c5cfe8a57ff30705ca3964e8005d5e63abfbbba32535f5a1254f91fb	Forest fruit	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9e3200b31539409cc889d09f6ea26052ad380350d5a98ba7e7a9689abf80a300	document.firstbloom.release_176	language.expression.en.sha256_6f1d8bc8fcc9f0b4e8ac08c11cb483f6628b5aa53e8d380d2839a525b55fcf57	Black Assam Tea	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_61f474af5a1c4e3452580067a4c34cc0205efd918f765084eddf3b8470344d5b	document.firstbloom.release_1772	language.expression.en.sha256_09009096fc76361fdb21edb819cc916cb029497d3db9c10ed73cbd5aaf010a5a	strawberries & floral	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_69d6fc4bb03c7931a0753aa83d563453f2892b5c7b988904ca79d9e17a3c9272	document.firstbloom.release_1773	language.expression.en.sha256_09009096fc76361fdb21edb819cc916cb029497d3db9c10ed73cbd5aaf010a5a	strawberries & floral	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_946107f0ce39bdc2d2b7c2ef2625dbc4c5efbfe95b0b7620d5ad9651bdcd3cc7	document.firstbloom.release_178	language.expression.en.sha256_2474724b55142f95c2c4d85f6c2e193ba5ac2e89d828e14737de6f17ce5febb1	Strawberry Syrup	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_73d9a13c5ea45189d298ad743a50e5dc0bb644f2747873520f6553f79b7a831b	document.firstbloom.release_178	language.expression.en.sha256_b6cb9ed792a62380929617905efa0d615da1fb9bdb303bd552ac48f1198b76ea	Rhubarb and Orange Zest	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_807fb77541d019f4bc769b98db94209d6158904c6d9c3d4978c0d56244c92541	document.firstbloom.release_1796	language.expression.en.sha256_f61279e25a343b6b482f963a024b782a5bec6a6e8ef6c484c9c2a60f6dea78db	and a delicate floral	tasting_note.fragment.004.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_e74f3c50e9ccb42e6cebf1e43027c9ce1c166da611fd6cf9ddb7461d8750ad84	document.firstbloom.release_1799	language.expression.en.sha256_5e3288841462c63d7c278f62d347f73807a035c92b762802e255a97eda46e931	Date and Cocoa	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3dedf2eb26fb1dc3f8eb32ed8773fda084c30937d5ca4f7ee2afe99fdeb428c2	document.firstbloom.release_1800	language.expression.en.sha256_3510865e12025cde1e11d4c6cc49628554cfcaff547f02e35a48cdb8b64a8f5f	Cocoa and Toasted Nuts	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_4d284dba34e9285cfb08e3757b22926a33a0be32580e0ce7cce71b358693d0e5	document.firstbloom.release_1804	language.expression.en.sha256_3fb182479d7512479e9bbf4a17e9085d451183985f0d8020d1624f1783e6ae1c	Browning Sugar and Bittersweet Chocolate	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_20c580ca618b0022e6107c85cf5e2bafc0af26eb607cc77b7ef8efa7e662aead	document.firstbloom.release_1805	language.expression.en.sha256_880dcf438a70759e15792bd11d9d7b50b50a656a055f724c68dd52fa60a0fc62	Raisin and Toasted Nuts	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_b8db55448172a0ded142db2b62c98c7c367e4f9a2fd7e30bb24fbbbb629059c4	document.firstbloom.release_1807	language.expression.en.sha256_6f698a2aadfd6281588196428b04ca8d8364cb3742400851304a67d717850e92	Cocoa and Black Tea	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_61ea64717faf92360962497ff84d421979f4280dd695186b7ead1beb4cdda2c0	document.firstbloom.release_1808	language.expression.en.sha256_9448ee77ec2b6e1b9947340b543ad6d5da543945d2d73b45bc9b190cafe8b8a8	Overripe Berries	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_5a0e820f8688e54139f7a75d1589fc9cfe77ba65895150b1a018b0f1ed5dad9f	document.firstbloom.release_1808	language.expression.en.sha256_0c8c9ddb7a3cf27026a02df2abeb2e2cf083b5030363a65b41f427907a6dec65	Citrus and Baking Spices	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_dd10e682909b61e55c5563bffa0fa8e24d3a62d39c749f136e692dc31e7d8199	document.firstbloom.release_1809	language.expression.en.sha256_2c6f45a1ff31fa0145da037b12fcda064e40a38c9ec3c0271dfe2722f6fe8d1d	Citrus and Caramel	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_feaaa1d03008efa76555634334426fe65adf3bd9e7a188f8fb3a47696ea24754	document.firstbloom.release_1815	language.expression.en.sha256_ca85af445c13b2f2b01f4bb6e13c9354e9f4dfaae6a0ce6677a7b3177e313894	Cooked Berries and Caramel	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_52d3f4bda8e3810c9496987b7dbb16ca1936542e813f6de3e0b76aed2cb0f4a3	document.firstbloom.release_1817	language.expression.en.sha256_148201c4c8af5aa99b5c3dac30071be754503f91b92ae4bdffc4b19f588cc94f	Red Fruits and Molasses	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_edf41280fded0e426a7320b924c943aa7d7c0fe8d68b7923c07e6e3510332d83	document.firstbloom.release_1818	language.expression.en.sha256_5df8e1e6dc9de3d09f60cc6d87da7fdb72749f109182de03b47bccddc1653570	Tea Rose	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_44189c76510154b8b184c1d5c4411aca31d3b708ab0e82c549598ef8c6f7411d	document.firstbloom.release_1818	language.expression.en.sha256_7790a08f945770747399c4c87da226d575d222c18a8b38e0adc7ef66dcd365dc	Persimmon and Black Tea	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6423a1a428259e8ff7475f8daef91cd888720e43f4ba6876e01d997889c15898	document.firstbloom.release_182	language.expression.en.sha256_dd3cedc2e45036b7138df3843a62a0057ae957c7f86bcec72b797d7790c42c57	Lush aroma	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9e112101cf2983ba9e8c5b8b8031abedce2d416d98c0dc231b1b0f2a744a6cc0	document.firstbloom.release_182	language.expression.en.sha256_32810c23e39d385077ea38babb1e1897565ceae9fe669f4c05a88f1ea71e4e59	round texture	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_64704ca6810bd2cb5cf09ab069efa5a09a82fd5e9cf4801d03cb69eeefbf32c3	document.firstbloom.release_182	language.expression.en.sha256_925963a6a1ce308922f8781184015b3691c8c168f2d6a732c4f21f6e2bf674db	and flavours of dark chocolate	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_c987e0457dc76f1731386232608ff61c7f092cc36a5b231bca8a004e0babc168	document.firstbloom.release_1820	language.expression.en.sha256_a7b1d42af574e9cdbca11b2de79af3ff464e7caadb0ce8c7e89ae28416551879	Berries and Cane Sugar	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_b803ce09738cd3b0e66ff55356998c748a2878a11efee249f8728633e6edf17e	document.firstbloom.release_1821	language.expression.en.sha256_39418119ef44a513c56d5bb73057515a20ae095c61618ba21816cebc85bdd1b2	Marzipan and Cocoa	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_67d43a89339bf5c3a528d63b32215cd8c96c70c50243177b9ce81cda2398e5c4	document.firstbloom.release_1823	language.expression.en.sha256_2c9ead993a3a5596c23f706e896a7d9d18aa5face60432e437d49dfb5adcdbca	Black Currant and Nougat	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_00d725b2ce4f2ecbc95c111f300a54fd14508b22b2a5aa8be0d20e251b2b1250	document.firstbloom.release_1824	language.expression.en.sha256_4d61c13020263dbb7806d4676dd8d29ae55088758bc20f870b80432f97e8b866	Plum and Cocoa	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_239d6795509fdf710131a71feb22d42256f4560f6cba058a79cdea561e6f140c	document.firstbloom.release_1826	language.expression.en.sha256_c2d308d47a266b7f4f9cec07e89d18710161b154d8c069c9fa5ef54c6d941559	Red Apple and Honey	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_48decafb8432706920e391d5c58490e5680d65bf7ee4b5365f26405c686f0680	document.firstbloom.release_1827	language.expression.en.sha256_29cfd572d34fdf8b8f703a6dde6b506eb33313b5bc3a31f3dad9aabf0372c279	Melon and Black Tea	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_fc172e6337268b959726ff56f61468b1c03d8e219dcc5dcd3c73b5c46ca0b7a2	document.firstbloom.release_1828	language.expression.en.sha256_0e32748725cd66befbb7c8e371a7128379658908adb29c289e7786bfe7639245	Peach and Rose Water	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_31999a439182d9c4f0d83030544a3c9d4af89996191ba786520c2a140c47390f	document.firstbloom.release_1830	language.expression.en.sha256_04f1cc9ff34f24000eb57c6607668b0122a01265a69c873b37ab2d6210e12215	Cooked Berries	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_494c4cca73f8c44b858d4e52933552d976b5d7f5eba098d0c386a7597a7b9219	document.firstbloom.release_1838	language.expression.en.sha256_2cc67be6755915888d096082dde17d578b8933bd7a67b926c953fb1851340c03	cannoli	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3ecd927a688358a0aaa50e4c1733fe77a9ad4212886ecc80db71303ccd30341c	document.firstbloom.release_187	language.expression.en.sha256_f4613394573d4404c7f516e11df7a274ac10047b52e101602cb4041162b47cae	Nectarine and Grapefruit	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_5518b0152afd1af4ba46fc0c640b8797db28d4c00f691eb60bc04d0673293ee8	document.firstbloom.release_1878	language.expression.en.sha256_80f5c039cb520b5b5138fd89cd6a931c6762c6518ecf542255c38c875fd7a564	lime and chamomile	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_02c362f694c1cb66664a292f24f525289f265134270a32a53f8cc609c5b5dc86	document.firstbloom.release_1879	language.expression.en.sha256_513aafd930abe8633a01cd3378314749927c129d8e18685e2ef7d3c94070870c	white sugar and rose	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_84b7bb0952f495ccf6842d3768e6b5eee01cec285cb1b547a173420b5eb27d29	document.firstbloom.release_188	language.expression.en.sha256_1266c54628a4993931c4c27317b6d5e569ee4aab39236182e160a3fdfed05dd5	Milk Chocolate and Lemonade	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_39b26a7f4d86c9c283c09764f9115b080ead00148d9443d1a059453ea6c2ccc3	document.firstbloom.release_1883	language.expression.en.sha256_76959badd64ef19c4b50046216494c63bdd169856bdf17568dfe56ef30c3d1a5	with fruity florals and a soft melon sweetness	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f7f802e38e8e19f2baea1d85a6d63c567b5ffac2faade1d990c7476a8356044f	document.firstbloom.release_1889	language.expression.en.sha256_9b0eb3e1cf913e33d865d692c9dbf112049dfd4501e8ab50e088cc4b16f15f1f	Crisp & sweet with orange	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_d94fb806c6b77c1838e5c4573c76367d2222a2c4b21cff5b35035d0049076bef	document.firstbloom.release_1889	language.expression.en.sha256_cca993487a9255ec2f5049c3db0d7c47f70419978b1c8ed4f67a586b3d2565ae	black tea and red apple aromas	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_9e0b009d340cbae7fe372b6693e473e11d06777d4b40e38f18aac4c11a907776	document.firstbloom.release_189	language.expression.en.sha256_0c6193e11c89c15a1715161c094efa47adfc6585cd66021968336d5b4d4fc321	Mesquite	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_50f410974cfd16fe39f717e8283db23508076b449786dcb8b12aa177e946f8f6	document.firstbloom.release_189	language.expression.en.sha256_ab192098afe177c329fc468c348f716f28e67f7ffad8b8088947afa8806c0276	Roasted Peach and Honey	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_4a4ec6264936a3786f8ff273a5381052ab1f44cace98c070b793b13087b26fb8	document.firstbloom.release_1890	language.expression.en.sha256_a0d8694bd7ab026ea1f08a28e5c18f38d014fac96dd4375a80d7c48a13e53727	Sweet and creamy with vanilla	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_21ef9d85025d0f5f275a9911caf3d37525b7cf91f6cfa0279b3f0732b2ca4046	document.firstbloom.release_1890	language.expression.en.sha256_199423c3ee03c4b5ed1b2cb4bfacfc51088d22f656836375c1b93f34525a0c1a	black tea and cola nut	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f74d30e4944a71f5f164112c7bc6dc994b10572fd0c03c64633500ac40cf2061	document.firstbloom.release_1911	language.expression.en.sha256_70827a0f9703158f41a282a35bec90d3e33bb912f4d6c76ff640c54e268bed89	Black Tea and Silky	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3f4f29eb9be3c81b603ac410df44a3d00404164c21b3dc79ddaa09c823ebd41e	document.firstbloom.release_1912	language.expression.en.sha256_716f580bb36d310226115098b98853f0017c03d0804db83f399dfbd8a9918d94	Orange Zest and Rich	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_60da976f69b3b9bb1f5bc4c56b3fccad293c48baf5c00d01570e69aa3f687e73	document.firstbloom.release_1913	language.expression.en.sha256_46d3040c46b5a8f4ffdbc4dd3ed0f3d897d982d919723cb8994941b966e66ee6	Cider and Floral	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_bdafac646c82b42dad3a4b64a70c49581a043775a144fadfcb70ce4770ed8688	document.firstbloom.release_1914	language.expression.en.sha256_62dfd91b5783be3732a8e1937094657a99ef48422d18a40d5c5896a79f3f784c	Toffee and Syrupy	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_90f0cfd0025df296c70d548ce8ba7304bbd101e7f97ea03e02c1699e63e9ca20	document.firstbloom.release_1915	language.expression.en.sha256_7b9a608c38671639e035672277fe0e5b5550077144323158c1f3d211109bbcf6	Honey Suckle and Silky	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3a8cfd563fd2c65cd255fc770fef91d248efe8b3e57d9510f164283fcf3d1b1c	document.firstbloom.release_1917	language.expression.en.sha256_dd989c37e25b8b4e1018b85a0d7c13405d8c753a2c0f366b2e7c49de7777ca43	Licorice and Jammy	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_1d31991b12030cfc19dc556b407f270666c2cd35d26e2118e5ddc5ba59b8b139	document.firstbloom.release_1918	language.expression.en.sha256_e49bf8d6a5c9cf46bbbbfb0b94d26185ba45ba8d280497f735c7abd259b2ae54	Cherry Chocolate	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_474126fde6120a08e9742e4d9b5e9df756d0d5bc715b077a4959b366e89371a8	document.firstbloom.release_1918	language.expression.en.sha256_c66c64a91d7e35c42cfd3598e9156ff68a11eee2d6f92d69f63c53f711b12fc6	Cane Sugar and Rich	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_97d1a3aeb0f1dab7cad5f92f6b8a1604e13dfd8d6479cdc3727dd33dc12ac38f	document.firstbloom.release_1919	language.expression.en.sha256_acb869e3319633b802730b67f0e7179542e141e12e89345910ef0426d516c5dd	Custard Apple	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_b434ab382e360bc4145f1d933479717ab05f526ab53e97f9619b7c38aa6231f5	document.firstbloom.release_1920	language.expression.en.sha256_5087a5cfecec4b720053f02023c6726d3af827e83bc13888b094ab5996bcb884	Hibiscus and Rich	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_538a41b48126d998f78ddde9310cd9208b057f0519a23ec90c17a3ce85d9e6c3	document.firstbloom.release_1921	language.expression.en.sha256_a18fce9312cc3966872877f7bff761b67cca4e2864a09c58bcdc4e7ac528240a	Bergamot and Jammy	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_5c9ceb81fd3c56904af6bf541b349166f08c45e9355bd6782d35472a5adc53fd	document.firstbloom.release_1922	language.expression.en.sha256_b24ae34cc947d7cfd376d137f8d8da0e968c03649a27eef65a3bcfa54e42ba02	Cacao Nibs and Luscious	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_bdf2ea3399376cb12f12f568cd90554b5c3cc8bea7923aa67224f867be33bdee	document.firstbloom.release_1923	language.expression.en.sha256_b130eb8e42939a8843d96340c43dd56f9099706c3dc434188b857cab40250213	Nectarine and Honey	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_be77c94800f56e73dcd069bfba8fc7623933aa167d4d1f1092e4449bf4b9f235	document.firstbloom.release_1927	language.expression.en.sha256_56b00abf2e22e4b77c10970701862e1b95a4f5b00a1c8390c2de1b691675acfc	Red current	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_88eccca9e98387852cfddbd80e287ed4845980689883559fdf4b95107b637e37	document.firstbloom.release_1927	language.expression.en.sha256_b4b8e7a5c5c42a634e05aae683b29a70aaaff82ca798151e9f8e931fda2c52b2	Passion fruit and Rooibos	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_e3f400e2a1d319da20c7b7c3ea449dd9a8358c7cc605ee2a6888b82514b3c51f	document.firstbloom.release_1929	language.expression.en.sha256_393b8db9452ceda209fa5e14ba18400129eefc95c9b381bf25a081f825db68f2	Milk Chocolate and Red Grape	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_6e244f1da7d01e2197be1481760b7bae4dcc88f7266c640d587bd6bfe0e1f420	document.firstbloom.release_1939	language.expression.en.sha256_b5f9e3323acfa5a679b3be1b4eeb8bfa1938ee8ddb2f534f5c64bcac74bf1ea3	coconut sugar	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3d04fbc3c08e0ec455319234d01e9959ddc05a8f3a9cce5c1a24f4a8c1226174	document.firstbloom.release_1939	language.expression.en.sha256_ac095e21330b4af9991b59463b831070f9da4549d0aec8b78937144b28ba53b1	juicy & delicate	tasting_note.fragment.004.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f5a6290dc95d9a2cfc78280d909cbd0d5242eb202fccd7ed62451b65533ad663	document.firstbloom.release_1945	language.expression.en.sha256_e1cb2e1ce68632e6139342dc39479fe1a76820cb4a0f503ca24ab8530cc9198c	Yellow Pear	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_f4cadb50af2c33cf44437ecbf17953f27b085cc9935bdafcdaf5b0223c2279d2	document.firstbloom.release_1945	language.expression.en.sha256_39d06056f307d05b2352c92368ce28e0ab586a08a86b57a64e33c2231ba2b562	Milk Chocolate and Vanilla	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_4395dc7e2a2c6077bed90a5443f4dcff996fd0834611d8ab0a82667b25b6c0be	document.firstbloom.release_1946	language.expression.en.sha256_57eb450d492aaf5708ab79a60a41a40fe57cb23f543710e65de8910a4bf40924	Dried Raspberry and Passion fruit	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_416886a7b34bac40d407226ca21616262e4763e3ab56f2239d23e0d2673bb2aa	document.firstbloom.release_195	language.expression.en.sha256_871024fab894938b051f3498b841cd96afa3f0496aeb0aa5c847e0e0f76be15d	Elegant and Lime	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_d9d859d0a4bbab491daff8c4c9be0ea57029d89d029c36e2b22b7cedeb6f54c9	document.firstbloom.release_1953	language.expression.en.sha256_5b9955aad163ad21c5147ddcde043749f410cac7743114490f143a8401f976f6	Roasted Hazelnuts	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_8f3519c6cf04448800be9c8c7f48a2e813b7727ee333cd8fa3cc95a902c96ad9	document.firstbloom.release_1953	language.expression.en.sha256_d49a21fb3bc4931d35e573bfd22bcd8fb26e3ba3f04195ed00e3c7b8c568aa5f	Orange Marmalade and Prune Juice	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
