presentation_slot_key	session_slot_key	beverage_sample_key	sequence_position	blinded_code
pilot.round3d.session_slot.reference.assessor_005.session_02.position_10	pilot.round3d.session_slot.reference.assessor_005.session_02	pilot.round3d.sample.lot_01.light.espresso_pressure.rep_2	10	698
pilot.round3d.session_slot.reference.assessor_005.session_02.position_11	pilot.round3d.session_slot.reference.assessor_005.session_02	pilot.round3d.sample.lot_01.extremely_light.espresso_pressure.rep_1	11	431
pilot.round3d.session_slot.reference.assessor_005.session_03.position_01	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_01.extremely_light.immersion.rep_2	1	751
pilot.round3d.session_slot.reference.assessor_005.session_03.position_02	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_2	2	951
pilot.round3d.session_slot.reference.assessor_005.session_03.position_03	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_01.light.filter_percolation.rep_1	3	242
pilot.round3d.session_slot.reference.assessor_005.session_03.position_04	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_02.light.diluted_espresso.rep_2	4	633
pilot.round3d.session_slot.reference.assessor_005.session_03.position_05	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_01.medium.hybrid.rep_1	5	581
pilot.round3d.session_slot.reference.assessor_005.session_03.position_06	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_02.light.espresso_pressure.rep_1	6	518
pilot.round3d.session_slot.reference.assessor_005.session_03.position_07	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_01.medium.diluted_espresso.rep_2	7	777
pilot.round3d.session_slot.reference.assessor_005.session_03.position_08	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_1	8	700
pilot.round3d.session_slot.reference.assessor_005.session_03.position_09	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_02.medium.espresso_pressure.rep_1	9	871
pilot.round3d.session_slot.reference.assessor_005.session_03.position_10	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_02.medium_light.espresso_pressure.rep_2	10	899
pilot.round3d.session_slot.reference.assessor_005.session_03.position_11	pilot.round3d.session_slot.reference.assessor_005.session_03	pilot.round3d.sample.lot_02.medium.filter_percolation.rep_1	11	702
pilot.round3d.session_slot.reference.assessor_005.session_04.position_01	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_02.dark.immersion.rep_1	1	545
pilot.round3d.session_slot.reference.assessor_005.session_04.position_02	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.dark.espresso_pressure.rep_2	2	353
pilot.round3d.session_slot.reference.assessor_005.session_04.position_03	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.medium_dark.immersion.rep_1	3	787
pilot.round3d.session_slot.reference.assessor_005.session_04.position_04	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_02.medium.espresso_milk.rep_2	4	212
pilot.round3d.session_slot.reference.assessor_005.session_04.position_05	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.extremely_dark.immersion.rep_1	5	440
pilot.round3d.session_slot.reference.assessor_005.session_04.position_06	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_2	6	438
pilot.round3d.session_slot.reference.assessor_005.session_04.position_07	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_1	7	961
pilot.round3d.session_slot.reference.assessor_005.session_04.position_08	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_2	8	726
pilot.round3d.session_slot.reference.assessor_005.session_04.position_09	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_2	9	436
pilot.round3d.session_slot.reference.assessor_005.session_04.position_10	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_02.light.cold_extraction.rep_1	10	691
pilot.round3d.session_slot.reference.assessor_005.session_04.position_11	pilot.round3d.session_slot.reference.assessor_005.session_04	pilot.round3d.sample.lot_01.light.filter_percolation.rep_2	11	238
pilot.round3d.session_slot.reference.assessor_005.session_05.position_01	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_1	1	932
pilot.round3d.session_slot.reference.assessor_005.session_05.position_02	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.light.immersion.rep_2	2	779
pilot.round3d.session_slot.reference.assessor_005.session_05.position_03	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_2	3	338
pilot.round3d.session_slot.reference.assessor_005.session_05.position_04	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.medium.filter_percolation.rep_2	4	257
pilot.round3d.session_slot.reference.assessor_005.session_05.position_05	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_2	5	462
pilot.round3d.session_slot.reference.assessor_005.session_05.position_06	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.extremely_light.immersion.rep_1	6	629
pilot.round3d.session_slot.reference.assessor_005.session_05.position_07	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_2	7	713
pilot.round3d.session_slot.reference.assessor_005.session_05.position_08	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.light.diluted_espresso.rep_1	8	605
pilot.round3d.session_slot.reference.assessor_005.session_05.position_09	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.medium.espresso_milk.rep_2	9	310
pilot.round3d.session_slot.reference.assessor_005.session_05.position_10	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_01.dark.immersion.rep_1	10	413
pilot.round3d.session_slot.reference.assessor_005.session_05.position_11	pilot.round3d.session_slot.reference.assessor_005.session_05	pilot.round3d.sample.lot_02.medium.espresso_milk.rep_1	11	787
pilot.round3d.session_slot.reference.assessor_005.session_06.position_01	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_1	1	844
pilot.round3d.session_slot.reference.assessor_005.session_06.position_02	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_1	2	266
pilot.round3d.session_slot.reference.assessor_005.session_06.position_03	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.light.hybrid.rep_2	3	218
pilot.round3d.session_slot.reference.assessor_005.session_06.position_04	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.dark.filter_percolation.rep_2	4	794
pilot.round3d.session_slot.reference.assessor_005.session_06.position_05	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.medium.filter_percolation.rep_2	5	279
pilot.round3d.session_slot.reference.assessor_005.session_06.position_06	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.medium_dark.espresso_pressure.rep_1	6	576
pilot.round3d.session_slot.reference.assessor_005.session_06.position_07	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_01.medium.immersion.rep_1	7	398
pilot.round3d.session_slot.reference.assessor_005.session_06.position_08	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_1	8	388
pilot.round3d.session_slot.reference.assessor_005.session_06.position_09	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_02.dark.cold_extraction.rep_1	9	804
pilot.round3d.session_slot.reference.assessor_005.session_06.position_10	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_01.light.espresso_milk.rep_2	10	571
pilot.round3d.session_slot.reference.assessor_005.session_06.position_11	pilot.round3d.session_slot.reference.assessor_005.session_06	pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_1	11	903
pilot.round3d.session_slot.reference.assessor_006.session_01.position_01	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_02.dark.espresso_milk.rep_1	1	374
pilot.round3d.session_slot.reference.assessor_006.session_01.position_02	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.dark.espresso_milk.rep_1	2	508
pilot.round3d.session_slot.reference.assessor_006.session_01.position_03	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.medium_light.immersion.rep_1	3	175
pilot.round3d.session_slot.reference.assessor_006.session_01.position_04	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_02.medium.diluted_espresso.rep_2	4	490
pilot.round3d.session_slot.reference.assessor_006.session_01.position_05	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.extremely_dark.filter_percolation.rep_1	5	400
pilot.round3d.session_slot.reference.assessor_006.session_01.position_06	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_02.dark.espresso_milk.rep_2	6	644
pilot.round3d.session_slot.reference.assessor_006.session_01.position_07	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.medium_light.filter_percolation.rep_2	7	521
pilot.round3d.session_slot.reference.assessor_006.session_01.position_08	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_02.medium.immersion.rep_2	8	154
pilot.round3d.session_slot.reference.assessor_006.session_01.position_09	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.light.espresso_milk.rep_1	9	603
pilot.round3d.session_slot.reference.assessor_006.session_01.position_10	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.dark.cold_extraction.rep_2	10	575
pilot.round3d.session_slot.reference.assessor_006.session_01.position_11	pilot.round3d.session_slot.reference.assessor_006.session_01	pilot.round3d.sample.lot_01.medium_light.filter_percolation.rep_1	11	345
pilot.round3d.session_slot.reference.assessor_006.session_02.position_01	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_01.dark.hybrid.rep_1	1	748
pilot.round3d.session_slot.reference.assessor_006.session_02.position_02	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_02.light.immersion.rep_1	2	196
pilot.round3d.session_slot.reference.assessor_006.session_02.position_03	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_02.dark.filter_percolation.rep_1	3	411
pilot.round3d.session_slot.reference.assessor_006.session_02.position_04	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_01.dark.immersion.rep_2	4	528
pilot.round3d.session_slot.reference.assessor_006.session_02.position_05	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_2	5	112
pilot.round3d.session_slot.reference.assessor_006.session_02.position_06	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_01.light.cold_extraction.rep_1	6	385
pilot.round3d.session_slot.reference.assessor_006.session_02.position_07	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_01.medium.cold_extraction.rep_1	7	466
pilot.round3d.session_slot.reference.assessor_006.session_02.position_08	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_02.dark.immersion.rep_2	8	878
pilot.round3d.session_slot.reference.assessor_006.session_02.position_09	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_02.dark.diluted_espresso.rep_1	9	889
pilot.round3d.session_slot.reference.assessor_006.session_02.position_10	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_2	10	418
pilot.round3d.session_slot.reference.assessor_006.session_02.position_11	pilot.round3d.session_slot.reference.assessor_006.session_02	pilot.round3d.sample.lot_02.light.espresso_milk.rep_2	11	618
pilot.round3d.session_slot.reference.assessor_006.session_03.position_01	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_01.light.diluted_espresso.rep_2	1	785
pilot.round3d.session_slot.reference.assessor_006.session_03.position_02	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_01.dark.filter_percolation.rep_1	2	151
pilot.round3d.session_slot.reference.assessor_006.session_03.position_03	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_02.light.espresso_milk.rep_1	3	774
pilot.round3d.session_slot.reference.assessor_006.session_03.position_04	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_1	4	566
pilot.round3d.session_slot.reference.assessor_006.session_03.position_05	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_02.dark.diluted_espresso.rep_2	5	922
pilot.round3d.session_slot.reference.assessor_006.session_03.position_06	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_01.light.hybrid.rep_2	6	672
pilot.round3d.session_slot.reference.assessor_006.session_03.position_07	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_1	7	909
pilot.round3d.session_slot.reference.assessor_006.session_03.position_08	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_02.dark.hybrid.rep_1	8	220
pilot.round3d.session_slot.reference.assessor_006.session_03.position_09	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_01.medium.immersion.rep_2	9	796
pilot.round3d.session_slot.reference.assessor_006.session_03.position_10	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_01.medium_light.immersion.rep_2	10	351
pilot.round3d.session_slot.reference.assessor_006.session_03.position_11	pilot.round3d.session_slot.reference.assessor_006.session_03	pilot.round3d.sample.lot_02.medium_dark.filter_percolation.rep_2	11	977
pilot.round3d.session_slot.reference.assessor_006.session_04.position_01	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_1	1	244
pilot.round3d.session_slot.reference.assessor_006.session_04.position_02	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_02.medium_dark.espresso_pressure.rep_2	2	515
pilot.round3d.session_slot.reference.assessor_006.session_04.position_03	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_01.medium.filter_percolation.rep_1	3	518
pilot.round3d.session_slot.reference.assessor_006.session_04.position_04	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_01.medium.cold_extraction.rep_2	4	683
pilot.round3d.session_slot.reference.assessor_006.session_04.position_05	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_1	5	453
pilot.round3d.session_slot.reference.assessor_006.session_04.position_06	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_02.extremely_dark.filter_percolation.rep_1	6	730
pilot.round3d.session_slot.reference.assessor_006.session_04.position_07	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_01.light.espresso_pressure.rep_1	7	827
pilot.round3d.session_slot.reference.assessor_006.session_04.position_08	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_2	8	253
pilot.round3d.session_slot.reference.assessor_006.session_04.position_09	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_02.medium_dark.immersion.rep_2	9	541
pilot.round3d.session_slot.reference.assessor_006.session_04.position_10	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_02.light.immersion.rep_2	10	744
pilot.round3d.session_slot.reference.assessor_006.session_04.position_11	pilot.round3d.session_slot.reference.assessor_006.session_04	pilot.round3d.sample.lot_01.medium.espresso_milk.rep_1	11	806
pilot.round3d.session_slot.reference.assessor_006.session_05.position_01	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_02.medium.cold_extraction.rep_2	1	929
pilot.round3d.session_slot.reference.assessor_006.session_05.position_02	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_02.light.cold_extraction.rep_2	2	229
pilot.round3d.session_slot.reference.assessor_006.session_05.position_03	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_1	3	240
pilot.round3d.session_slot.reference.assessor_006.session_05.position_04	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_01.dark.cold_extraction.rep_1	4	755
pilot.round3d.session_slot.reference.assessor_006.session_05.position_05	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_01.extremely_dark.filter_percolation.rep_2	5	948
pilot.round3d.session_slot.reference.assessor_006.session_05.position_06	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_2	6	126
pilot.round3d.session_slot.reference.assessor_006.session_05.position_07	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_2	7	925
pilot.round3d.session_slot.reference.assessor_006.session_05.position_08	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_01.dark.filter_percolation.rep_2	8	751
pilot.round3d.session_slot.reference.assessor_006.session_05.position_09	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_02.medium.hybrid.rep_1	9	981
pilot.round3d.session_slot.reference.assessor_006.session_05.position_10	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_1	10	990
pilot.round3d.session_slot.reference.assessor_006.session_05.position_11	pilot.round3d.session_slot.reference.assessor_006.session_05	pilot.round3d.sample.lot_02.medium.hybrid.rep_2	11	970
pilot.round3d.session_slot.reference.assessor_006.session_06.position_01	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_01.dark.espresso_milk.rep_2	1	449
pilot.round3d.session_slot.reference.assessor_006.session_06.position_02	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_02.medium_light.immersion.rep_2	2	131
pilot.round3d.session_slot.reference.assessor_006.session_06.position_03	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_01.medium.hybrid.rep_2	3	594
pilot.round3d.session_slot.reference.assessor_006.session_06.position_04	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_02.medium.cold_extraction.rep_1	4	984
pilot.round3d.session_slot.reference.assessor_006.session_06.position_05	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_01.light.immersion.rep_1	5	189
pilot.round3d.session_slot.reference.assessor_006.session_06.position_06	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_01.dark.hybrid.rep_2	6	714
pilot.round3d.session_slot.reference.assessor_006.session_06.position_07	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_02.medium_light.filter_percolation.rep_2	7	726
pilot.round3d.session_slot.reference.assessor_006.session_06.position_08	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_01.medium_dark.immersion.rep_2	8	539
pilot.round3d.session_slot.reference.assessor_006.session_06.position_09	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_01.light.hybrid.rep_1	9	523
pilot.round3d.session_slot.reference.assessor_006.session_06.position_10	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_02.light.diluted_espresso.rep_1	10	747
pilot.round3d.session_slot.reference.assessor_006.session_06.position_11	pilot.round3d.session_slot.reference.assessor_006.session_06	pilot.round3d.sample.lot_02.extremely_light.immersion.rep_2	11	453
pilot.round3d.session_slot.reference.assessor_007.session_01.position_01	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_02.light.filter_percolation.rep_1	1	775
pilot.round3d.session_slot.reference.assessor_007.session_01.position_02	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_02.dark.cold_extraction.rep_2	2	995
pilot.round3d.session_slot.reference.assessor_007.session_01.position_03	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_02.light.filter_percolation.rep_2	3	802
pilot.round3d.session_slot.reference.assessor_007.session_01.position_04	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_01.light.espresso_pressure.rep_2	4	468
pilot.round3d.session_slot.reference.assessor_007.session_01.position_05	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_01.extremely_light.espresso_pressure.rep_1	5	789
pilot.round3d.session_slot.reference.assessor_007.session_01.position_06	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_01.extremely_light.immersion.rep_2	6	852
pilot.round3d.session_slot.reference.assessor_007.session_01.position_07	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_01.medium_dark.espresso_pressure.rep_2	7	443
pilot.round3d.session_slot.reference.assessor_007.session_01.position_08	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_01.light.filter_percolation.rep_1	8	998
pilot.round3d.session_slot.reference.assessor_007.session_01.position_09	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_02.light.diluted_espresso.rep_2	9	120
pilot.round3d.session_slot.reference.assessor_007.session_01.position_10	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_01.medium.hybrid.rep_1	10	652
pilot.round3d.session_slot.reference.assessor_007.session_01.position_11	pilot.round3d.session_slot.reference.assessor_007.session_01	pilot.round3d.sample.lot_02.light.espresso_pressure.rep_1	11	514
pilot.round3d.session_slot.reference.assessor_007.session_02.position_01	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_01.medium.diluted_espresso.rep_2	1	991
pilot.round3d.session_slot.reference.assessor_007.session_02.position_02	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_01.medium.espresso_pressure.rep_1	2	384
pilot.round3d.session_slot.reference.assessor_007.session_02.position_03	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_02.medium.espresso_pressure.rep_1	3	195
pilot.round3d.session_slot.reference.assessor_007.session_02.position_04	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_02.medium_light.espresso_pressure.rep_2	4	802
pilot.round3d.session_slot.reference.assessor_007.session_02.position_05	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_02.medium.filter_percolation.rep_1	5	992
pilot.round3d.session_slot.reference.assessor_007.session_02.position_06	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_02.dark.immersion.rep_1	6	276
pilot.round3d.session_slot.reference.assessor_007.session_02.position_07	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_01.dark.espresso_pressure.rep_2	7	372
pilot.round3d.session_slot.reference.assessor_007.session_02.position_08	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_01.medium_dark.immersion.rep_1	8	419
pilot.round3d.session_slot.reference.assessor_007.session_02.position_09	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_02.medium.espresso_milk.rep_2	9	940
pilot.round3d.session_slot.reference.assessor_007.session_02.position_10	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_01.extremely_dark.immersion.rep_1	10	735
pilot.round3d.session_slot.reference.assessor_007.session_02.position_11	pilot.round3d.session_slot.reference.assessor_007.session_02	pilot.round3d.sample.lot_01.extremely_dark.espresso_pressure.rep_2	11	362
pilot.round3d.session_slot.reference.assessor_007.session_03.position_01	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.dark.diluted_espresso.rep_1	1	734
pilot.round3d.session_slot.reference.assessor_007.session_03.position_02	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.medium_light.espresso_pressure.rep_2	2	353
pilot.round3d.session_slot.reference.assessor_007.session_03.position_03	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_02.extremely_light.espresso_pressure.rep_2	3	350
pilot.round3d.session_slot.reference.assessor_007.session_03.position_04	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_02.light.cold_extraction.rep_1	4	838
pilot.round3d.session_slot.reference.assessor_007.session_03.position_05	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.light.filter_percolation.rep_2	5	897
pilot.round3d.session_slot.reference.assessor_007.session_03.position_06	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.medium_dark.filter_percolation.rep_1	6	891
pilot.round3d.session_slot.reference.assessor_007.session_03.position_07	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.light.immersion.rep_2	7	208
pilot.round3d.session_slot.reference.assessor_007.session_03.position_08	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_02.extremely_dark.immersion.rep_2	8	502
pilot.round3d.session_slot.reference.assessor_007.session_03.position_09	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.medium.filter_percolation.rep_2	9	449
pilot.round3d.session_slot.reference.assessor_007.session_03.position_10	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_02.extremely_dark.espresso_pressure.rep_2	10	166
pilot.round3d.session_slot.reference.assessor_007.session_03.position_11	pilot.round3d.session_slot.reference.assessor_007.session_03	pilot.round3d.sample.lot_01.extremely_light.immersion.rep_1	11	745
pilot.round3d.session_slot.reference.assessor_007.session_04.position_01	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_01.extremely_light.filter_percolation.rep_2	1	844
pilot.round3d.session_slot.reference.assessor_007.session_04.position_02	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_01.light.diluted_espresso.rep_1	2	237
pilot.round3d.session_slot.reference.assessor_007.session_04.position_03	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_01.medium.espresso_milk.rep_2	3	293
pilot.round3d.session_slot.reference.assessor_007.session_04.position_04	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_01.dark.immersion.rep_1	4	376
pilot.round3d.session_slot.reference.assessor_007.session_04.position_05	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_02.medium.espresso_milk.rep_1	5	610
pilot.round3d.session_slot.reference.assessor_007.session_04.position_06	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_02.extremely_light.filter_percolation.rep_1	6	906
pilot.round3d.session_slot.reference.assessor_007.session_04.position_07	pilot.round3d.session_slot.reference.assessor_007.session_04	pilot.round3d.sample.lot_02.dark.espresso_pressure.rep_1	7	206
